"species","value"
"t29",-6.01174104316036
"t2",-5.29110793067449
"t10",2.25025761193802
"t1",1.69572379554209
"t11",-2.42848262820346
"t15",-1.99138220972232
"t24",-3.94285293564249
"t28",-4.90072239802227
"t16",-3.69621828493961
"t21",1.41903572040636
"t12",4.1526985448828
"t7",2.21894372978189
"t8",-0.0552336264378084
"t27",-2.34941066633717
"t3",-2.55476595772016
"t23",2.39898390594308
"t22",-2.53707145933629
"t26",-0.466272281720577
"t17",-0.428078540445364
"t6",-0.393060672844957
"t13",6.47880028216544
"t4",3.56274283217232
"t20",1.71111864667176
"t5",1.53427829194255
"t19",5.39892137762558
"t18",4.58682177766145
"t14",4.57388072354277
"t30",4.62285794887076
"t25",5.53481727781178
"t9",7.09450866804609
