"family","species","body_mass","gestation","home_range","longevity","social_group_size","sex_dimorphism","mating_system"
"Atelidae","Alouatta_palliata",6576.99,185.42,0.19,300,13.1,"1","Polygynous"
"Atelidae","Alouatta_pigra",7172.06,185.92,0.3,240,5.5,"1","Polyandrous"
"Atelidae","Alouatta_seniculus",6398.31,189.9,0.1,300,7.9,"1","Polygynous"
"Aotidae","Aotus_trivirgatus",912.4,133.47,0.02,303.6,3.15,"0","Pair"
"Atelidae","Ateles_belzebuth",6692.42,138.2,2.28,336,14.5,"1","Polyandrous"
"Atelidae","Ateles_geoffroyi",7582.4,226.37,0.73,327.6,42,"1","Polygynous"
"Atelidae","Ateles_paniscus",8697.25,228.18,1.36,453.6,20,"1","Polygynous"
"Pitheciidae","Callicebus_moloch",958.13,164,0.02,303.6,2.95,"0","Polygynous"
"Cebidae","Callimico_goeldii",558,153.99,0.32,214.8,6.85,"0","Pair"
"Cebidae","Callithrix_jacchus",290.21,144,0.02,201.6,8.55,"0","Polygynous"
"Cebidae","Callithrix_pygmaea",123.94,134.44,0.00212,181.2,6,"0","Pair"
"Cebidae","Cebus_albifrons",2509.68,158.29,0.53,528,25,"1","Polygynous"
"Cebidae","Cebus_apella",2758.38,154.99,0.88,541.2,7.9,"1","Polygynous"
"Cebidae","Cebus_capucinus",3005.99,161.06,0.35,657.6,18.15,"1","Polyandrous"
"Cercopithecidae","Cercocebus_galeritus",7077.66,174.43,0.51,252,20.35,"0","Polygynous"
"Cercopithecidae","Cercopithecus_ascanius",3540.24,148.5,0.16,339.6,26.3,"1","Pair"
"Cercopithecidae","Cercopithecus_cephus",3444.88,169.51,0.24,276,11,"0","Polygynous"
"Cercopithecidae","Cercopithecus_mitis",5041.29,138.39,0.1,325.2,16,"1","Polygynous"
"Cercopithecidae","Cercopithecus_neglectus",5324.52,172.07,0.06,315.6,4.5,"1","Polygynous"
"Cercopithecidae","Cercopithecus_nictitans",5256.91,169.51,1.15,276,16,"1","Polygynous"
"Cheirogaleidae","Cheirogaleus_major",446.02,70,0.02,180,1,"0","Pair"
"Cheirogaleidae","Cheirogaleus_medius",196.76,61.79,0.02,231.6,1,"0","Polyandrous"
"Cercopithecidae","Colobus_guereza",9925.88,169.02,0.17,294,7.6,"1","Polygynous"
"Cercopithecidae","Colobus_polykomos",8797.29,172.69,0.14,366,10.2,"1","Polygynous"
"Daubentoniidae","Daubentonia_madagascariensis",2731.37,166.48,0.06,291.6,1,"0","Pair"
"Cercopithecidae","Erythrocebus_patas",7966.3,167.2,28.24,286.8,28,"1","Polygynous"
"Lemuridae","Eulemur_coronatus",1699.85,124.04,0.05,220.8,6.95,"1","Polyandrous"
"Lemuridae","Eulemur_mongoz",1771.13,129,0.05,360,2.7,"1","Polygynous"
"Galagidae","Galago_alleni",266.03,133,0.18,144,6,"1","Pair"
"Galagidae","Galago_demidoff",66.04,111,0.01,168,5.5,"1","Polygynous"
"Galagidae","Galago_moholi",191.96,122.29,0.04,198,1,"0","Polygynous"
"Galagidae","Galago_senegalensis",215.2,126.98,0.08,204,3.5,"0","Polygynous"
"Hylobatidae","Hylobates_lar",5578.61,212.91,0.32,480,3.2,"0","Polygynous"
