"species","value"
"t29",11.9282502865728
"t2",11.0136322735896
"t10",11.8918454755584
"t1",12.7285222503077
"t11",16.1901823255821
"t15",15.4410895621801
"t24",19.912412842067
"t28",19.6101264142098
"t16",18.8833987883932
"t21",17.144965724857
"t12",15.2190526536095
"t7",13.9544893523297
"t8",10.9069361307208
"t27",15.602199674082
"t3",14.7350036976015
"t23",17.9578375331065
"t22",14.692777003228
"t26",16.5783795409751
"t17",15.682588755599
"t6",15.3317887480891
"t13",11.7242381163298
"t4",-13.6051827102419
"t20",-2.37045847429677
"t5",-2.55281504617217
"t19",-11.0341257866592
"t18",-7.12699533629132
"t14",-7.06870902737588
"t30",-6.323147128136
"t25",-8.58626402319694
"t9",-7.34004313741442
