"species","value"
"t29",2.62019772870397
"t2",2.52555211172987
"t10",2.42361198578705
"t1",2.45409351583478
"t11",2.45898198761942
"t15",2.44297843117733
"t24",2.50966875476446
"t28",2.5781073533169
"t16",2.57947764871975
"t21",2.38778049625778
"t12",2.24647283323809
"t7",2.75425594346977
"t8",2.20193748563764
"t27",2.46517678686375
"t3",2.48373229678995
"t23",2.45924272143689
"t22",2.58883526898686
"t26",2.71471079885197
"t17",2.71751487574474
"t6",2.69150522328932
"t13",1.36120690256404
"t4",0.34902519802465
"t20",1.06793976086875
"t5",1.04140658636373
"t19",0.798619444923991
"t18",0.427044183948072
"t14",0.368452271805992
"t30",0.386595332842662
"t25",0.452680222413725
"t9",0.485411896900932
