clade_id	node_label	trait_kind	taxon_count	taxa	coverage_fraction	mean	median	minimum	maximum	range_width	mean_delta_from_global	dominant_state	dominant_state_count	dominant_state_fraction	dominant_state_enrichment	distinct_state_count	state_counts	distribution_shift	exceptionality_score	exceptional	rank
Malurus_coronatus|Malurus_cyaneus|Malurus_splendens		categorical	3	Malurus_coronatus,Malurus_cyaneus,Malurus_splendens	0.0319148936170213							cooperative	3	1	0.829787234042553	1	cooperative=3	0.829787234042553	0.148239332124518	false	1
Aphelocoma_coerulescens|Aphelocoma_ultramarina|Corvus_brachyrhynchos|Corvus_corone|Cyanocorax_morio|Gymnorhina_tibicen|Pica_pica|Rhipidura_fuliginosa|Struthidea_cinerea|Vireo_solitarius		categorical	10	Aphelocoma_coerulescens,Aphelocoma_ultramarina,Corvus_brachyrhynchos,Corvus_corone,Cyanocorax_morio,Gymnorhina_tibicen,Pica_pica,Rhipidura_fuliginosa,Struthidea_cinerea,Vireo_solitarius	0.106382978723404							cooperative	6	0.6	0.429787234042553	3	cooperative=6;pair=3;polyandrous=1	0.429787234042553	0.140181139102974	false	2
Aphelocoma_coerulescens|Aphelocoma_ultramarina|Corvus_brachyrhynchos|Corvus_corone|Cyanocorax_morio|Pica_pica|Rhipidura_fuliginosa|Struthidea_cinerea		categorical	8	Aphelocoma_coerulescens,Aphelocoma_ultramarina,Corvus_brachyrhynchos,Corvus_corone,Cyanocorax_morio,Pica_pica,Rhipidura_fuliginosa,Struthidea_cinerea	0.0851063829787234							cooperative	5	0.625	0.454787234042553	3	cooperative=5;pair=2;polyandrous=1	0.454787234042553	0.132675072053936	false	3
Acanthiza_pusilla|Malurus_coronatus|Malurus_cyaneus|Malurus_splendens|Manorina_melanocephala|Sericornis_frontalis		categorical	6	Acanthiza_pusilla,Malurus_coronatus,Malurus_cyaneus,Malurus_splendens,Manorina_melanocephala,Sericornis_frontalis	0.0638297872340425							cooperative	4	0.666666666666667	0.49645390070922	3	cooperative=4;pair=1;polyandrous=1	0.49645390070922	0.125426881860971	false	4
Aphelocoma_coerulescens|Aphelocoma_ultramarina|Corvus_brachyrhynchos|Corvus_corone|Cyanocorax_morio|Pica_pica		categorical	6	Aphelocoma_coerulescens,Aphelocoma_ultramarina,Corvus_brachyrhynchos,Corvus_corone,Cyanocorax_morio,Pica_pica	0.0638297872340425							cooperative	4	0.666666666666667	0.49645390070922	3	cooperative=4;pair=1;polyandrous=1	0.49645390070922	0.125426881860971	false	5
Corvus_brachyrhynchos|Corvus_corone		categorical	2	Corvus_brachyrhynchos,Corvus_corone	0.0212765957446809							cooperative	2	1	0.829787234042553	1	cooperative=2	0.829787234042553	0.121036907838678	false	6
Malurus_cyaneus|Malurus_splendens		categorical	2	Malurus_cyaneus,Malurus_splendens	0.0212765957446809							cooperative	2	1	0.829787234042553	1	cooperative=2	0.829787234042553	0.121036907838678	false	7
Aphelocoma_coerulescens|Aphelocoma_ultramarina|Corvus_brachyrhynchos|Corvus_corone|Cyanocorax_morio|Pica_pica|Rhipidura_fuliginosa|Struthidea_cinerea|Vireo_solitarius		categorical	9	Aphelocoma_coerulescens,Aphelocoma_ultramarina,Corvus_brachyrhynchos,Corvus_corone,Cyanocorax_morio,Pica_pica,Rhipidura_fuliginosa,Struthidea_cinerea,Vireo_solitarius	0.0957446808510638							cooperative	5	0.555555555555556	0.385342789598109	3	cooperative=5;pair=3;polyandrous=1	0.385342789598109	0.119235222085236	false	8
Alle_alle|Cepphus_grylle|Charadrius_hiaticula|Charadrius_semipalmatus|Fratercula_arctica|Haematopus_ostralegus|Larus_argentatus|Rissa_tridactyla|Sterna_hirundo		categorical	9	Alle_alle,Cepphus_grylle,Charadrius_hiaticula,Charadrius_semipalmatus,Fratercula_arctica,Haematopus_ostralegus,Larus_argentatus,Rissa_tridactyla,Sterna_hirundo	0.0957446808510638							pair	9	1	0.382978723404255	1	pair=9	0.382978723404255	0.118503717655266	false	9
Acrocephalus_melanopogon|Acrocephalus_schoenobaenus		categorical	2	Acrocephalus_melanopogon,Acrocephalus_schoenobaenus	0.0212765957446809							polyandrous	2	1	0.787234042553192	1	polyandrous=2	0.787234042553192	0.114829886923874	false	10
