mode	lambda_value	log_likelihood	delta_log_likelihood	within_95_confidence_interval	profile_lower_95_confidence_interval	profile_upper_95_confidence_interval	null_log_likelihood	brownian_log_likelihood
estimated	0	-150.399984474569	12.7604875294798	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.01	-149.657136949386	12.017640004297	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.02	-148.953646347624	11.3141494025352	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.03	-148.294515369353	10.6550184242643	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.04	-147.678376054148	10.0388791090584	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.05	-147.102164846568	9.46266790147834	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.06	-146.562520538286	8.92302359319663	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.07	-146.056237928071	8.41674098298157	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.08	-145.58040454604	7.94090760095048	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.09	-145.132423169776	7.49292622468718	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.1	-144.709993335747	7.07049639065812	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.11	-144.311079985952	6.67158304086277	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.12	-143.933880274272	6.29438332918238	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.13	-143.576792683417	5.93729573832766	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.14	-143.238389766521	5.59889282143158	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.15	-142.917394663657	5.27789771856752	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.16	-142.612661094518	4.97316414942884	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.17	-142.323156387451	4.68365944236231	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.18	-142.047947093893	4.40845014880384	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.19	-141.786186776872	4.14668983178294	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.2	-141.537105617498	3.89760867240918	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.21	-141.300001539165	3.6605045940756	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.22	-141.074232599695	3.43473565460582	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.23	-140.859210445024	3.2197134999349	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.24	-140.654394654295	3.01489770920617	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.25	-140.459287836179	2.81979089108987	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.26	-140.273431360721	2.63393441563224	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.27	-140.09640163103	2.45690468594111	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.28	-139.927806815411	2.28830987032174	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.29	-139.767283973873	2.12778702878384	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.3	-139.614496523827	1.97499957873831	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.31	-139.469131998712	1.82963505362332	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.32	-139.330900060649	1.69140311556006	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.33	-139.199530734292	1.56003378920317	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.34	-139.074772834079	1.43527588899016	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.35	-138.956392561277	1.3168956161874	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.36	-138.844172250724	1.20467530563442	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.37	-138.737909250128	1.09841230503835	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.38	-138.63741491725	0.997917972160792	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.39	-138.542513722436	0.903016777346664	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.4	-138.453042445742	0.813545500653277	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.41	-138.368849459479	0.729352514390229	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.42	-138.289794088306	0.650297143216591	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.43	-138.215746040211	0.576249095121597	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.44	-138.146584902735	0.507087957646064	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.45	-138.08219969971	0.442702754620996	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.46	-138.022488504633	0.382991559543541	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.47	-137.967358107558	0.327861162468963	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.48	-137.916723733113	0.277226788023398	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.49	-137.870508807915	0.231011862825568	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.5	-137.828644776376	0.189147831286675	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.51	-137.79107096452	0.151574019430797	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.52	-137.757734492167	0.118237547078223	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.53	-137.728590234567	0.0890932894774323	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.54	-137.703600835357	0.0641038902679441	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.55	-137.68273677364	0.0432398285503268	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.56	-137.66597648893	0.026479543841134	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.57	-137.653306568942	0.0138096238529499	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.58	-137.644722006481	0.0052250613918261	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.59	-137.64022653336	0.000729588271127568	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.6	-137.639833041157	0.000336096068110692	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.61	-137.643564100972	0.00406715588277962	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.62	-137.651452597199	0.011955652110089	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.63	-137.663542493842	0.0240455487523548	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.64	-137.679889756253	0.0403928111641392	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.65	-137.700563456675	0.0610665115862048	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.66	-137.725647098786	0.0861501536964226	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.67	-137.755240205235	0.115743260146161	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.68	-137.789460223271	0.149963278181332	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.69	-137.828444817901	0.188947872811781	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.7	-137.872354640651	0.232857695561989	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.71	-137.92137668622	0.281879741131178	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.72	-137.975728381325	0.336231436236147	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.73	-138.035662592424	0.39616564733447	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.74	-138.101473795814	0.461976850724568	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.75	-138.173505730364	0.534008785274381	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.76	-138.252160957902	0.612664012812473	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.77	-138.337912900796	0.698415955707219	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.78	-138.431321127816	0.791824182727311	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.79	-138.533050943892	0.893553998802531	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.8	-138.643898746305	1.00440180121623	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.81	-138.764825199942	1.1253282548532	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.82	-138.896999153066	1.25750220797696	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.83	-139.041856515678	1.40235957058925	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.84	-139.201180304878	1.56168335978842	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.85	-139.377211143912	1.73771419882254	true	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.86	-139.572802400821	1.93330545573187	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.87	-139.79164213312	2.1521451880312	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.88	-140.038577367922	2.39908042283307	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.89	-140.32009933103	2.68060238594114	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.9	-140.645089563035	3.00559261794618	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.91	-141.026003953149	3.38650700805937	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.92	-141.48082266927	3.84132572418059	false	0.31	0.85	-150.399984474569	-173.79536933438
estimated	0.93	-142.036407073064	4.39691012797437	false	0.31	0.85	-150.399984474569	-173.79536933438
