trait	observed_k	estimated_lambda	permutations	signal_permutation_p_value	permutation_index	permuted_k	at_or_above_observed
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	1	0.0196644047195885	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	2	0.0208569922530744	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	3	0.0146854637069263	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	4	0.0215926577365505	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	5	0.0135999648836589	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	6	0.0154628242883428	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	7	0.0159890396323442	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	8	0.00974346114857683	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	9	0.0176918605439974	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	10	0.00804702497975465	false
testes_mass	0.0705608803720894	0.595	11	0.0833333333333333	11	0.0170252151921575	false
