species,common_name,mating_system,testes_mass,body_mass,multiple_paternity_percentage,development_mode
Aegithalos_caudatus,Long tailed tit,cooperative,0.03,8.2,12.5,altricial
Cercomacra_tyrannina,Dusky Antbird,pair,0.03,17.7992,0,altricial
Dendroica_caerulescens,Black throated Blue Warbler,pair,0.04,9.7994,34.19,altricial
Ficedula_hypoleuca,European Pied Flycatcher,polyandrous,0.04,12,11.11,altricial
Ficedula_albicollis,Collared Flycatcher,pair,0.04,10.3,51.85,altricial
Taeniopygia_guttata,Zebra Finch,pair,0.05,12,8,altricial
Malurus_coronatus,Purple crowned fairywren,cooperative,0.05,14.5011,3.8,altricial
Phylloscopus_fuscatus,Dusky warbler,polyandrous,0.077,9.6,59,altricial
Troglodytes_aedon,House Wren,polyandrous,0.085,11.1,11.11,altricial
Falco_peregrinus,Peregrine Falcon,pair,0.09,610.942,0,altricial
Vireo_solitarius,Blue headed Vireo,pair,0.09,16.5997,6.3,altricial
Sterna_hirundo,Common Tern,pair,0.09,120.0052,0,altricial
Charadrius_semipalmatus,Semipalmated Plover,pair,0.1,43.9036,4.2,precocial
Acanthiza_pusilla,Brown thornbill,pair,0.11,7.5998,11.9,altricial
Acrocephalus_palustris,Marsh Warbler,pair,0.14,12,9.1,altricial
Acrocephalus_scirpaceus,Reed warbler,pair,0.15,12,15.4,altricial
Serinus_serinus,European Serin,pair,0.15,11.2,0,altricial
Spizella_pusilla,Field Sparrow,pair,0.16,13.2008,20.57,altricial
Phylloscopus_sibilatrix,Wood Warbler,polyandrous,0.16,9,0,altricial
Wilsonia_pusilla,Wilson s Warbler,polyandrous,0.16,8.0002,53,altricial
Carpodacus_mexicanus,House Finch,pair,0.17,21.4,14.29,altricial
Acrocephalus_schoenobaenus,Sedge Warbler,polyandrous,0.17,12.1,22.73,altricial
Baeolophus_bicolor,Tufted titmouse,pair,0.17,20.8018,22.2,altricial
Phylloscopus_trochilus,Willow Warbler,pair,0.18,9,58.33,altricial
Falco_columbarius,Merlin,cooperative,0.19,173,0,altricial
Sialia_mexicana,Western Bluebird,cooperative,0.2,29.0001,39.22,altricial
Thryothorus_ludovicianus,Carolina Wren,pair,0.2,20.3002,0,altricial
Carduelis_cannabina,Linnet,pair,0.2,19.002,9.09,altricial
Delichon_urbicum,House Martin,pair,0.2,16.9981,31.58,altricial
Zosterops_lateralis,Silvereye,pair,0.21,12.0005,0,altricial
Carduelis_tristis,American Goldfinch,pair,0.23,12.8,26.7,altricial
Erithacus_rubecula,European Robin,pair,0.23,18.2,16.57,altricial
Serinus_canaria,Atlantic Canary,pair,0.23,13,0,altricial
Carpodacus_erythrinus,Scarlet Rose Finch,pair,0.24,21.9989,33.87,altricial
Manorina_melanocephala,Noisy Miner,cooperative,0.26,56.0015,3.2,altricial
Jynx_torquilla,Eurasian Wryneck,pair,0.26,31.0027,2,altricial
Sialia_sialis,Eastern Bluebird,pair,0.265,31,23.81,altricial
Acrocephalus_melanopogon,Moustached warbler,polyandrous,0.27,11,56,altricial
Hirundo_rustica,Barn Swallow,pair,0.33,16.2,55.56,altricial
Ammodramus_maritimus,Seaside sparrow,pair,0.33,22.5009,17,altricial
Sericornis_frontalis,White browed Scrubwren,polyandrous,0.37,11.0002,12.5,altricial
Dolichonyx_oryzivorus,Bobolink,polyandrous,0.39,47,38,altricial
Charadrius_hiaticula,Ringed Plover,pair,0.4,54,0,precocial
Rhipidura_fuliginosa,Grey Fantail,pair,0.4,9.3004,64,altricial
Anthus_spinoletta,Water Pipit,pair,0.425,23.8,12.4,altricial
Wilsonia_citrina,Hooded Warbler,pair,0.43,10.6,35.3,altricial
Zonotrichia_albicollis,White throated Sparrow,pair,0.43,27.1019,31.3,altricial
Acrocephalus_arundinaceus,Great Reed Warbler,polyandrous,0.46,27.2,10.42,altricial
Malurus_cyaneus,Superb Fairywren,cooperative,0.48,9,95,altricial
Malurus_splendens,Splendid Fairywren,cooperative,0.48,10,29.51,altricial
Passerculus_sandwichensis,Savannah Sparrow,polyandrous,0.49,18.9017,69.23,altricial
