node	node_name	descendant_taxa	estimate	standard_error	lower_95_interval	upper_95_interval	uncertainty_width	confidence	interpretation	unstable
Alouatta_palliata|Alouatta_pigra|Alouatta_seniculus|Aotus_trivirgatus|Ateles_belzebuth|Ateles_geoffroyi|Ateles_paniscus|Callicebus_moloch|Callimico_goeldii|Callithrix_jacchus|Callithrix_pygmaea|Cebus_albifrons|Cebus_apella|Cebus_capucinus|Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Cheirogaleus_major|Cheirogaleus_medius|Colobus_guereza|Colobus_polykomos|Daubentonia_madagascariensis|Erythrocebus_patas|Eulemur_coronatus|Eulemur_mongoz|Galago_alleni|Galago_demidoff|Galago_moholi|Galago_senegalensis|Hylobates_lar|Hylobates_pileatus|Lemur_catta|Leontopithecus_rosalia|Lepilemur_leucopus|Lepilemur_mustelinus|Lophocebus_albigena|Loris_tardigradus|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Microcebus_murinus|Microcebus_rufus|Miopithecus_talapoin|Mirza_coquereli|Nasalis_larvatus|Nomascus_concolor|Otolemur_crassicaudatus|Otolemur_garnettii|Pan_paniscus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Perodicticus_potto|Prolemur_simus|Propithecus_verreauxi|Saguinus_fuscicollis|Saguinus_midas|Saguinus_oedipus|Saimiri_sciureus|Semnopithecus_entellus|Symphalangus_syndactylus|Tarsius_bancanus|Tarsius_syrichta|Theropithecus_gelada|Trachypithecus_obscurus	Node1	Alouatta_palliata,Alouatta_pigra,Alouatta_seniculus,Aotus_trivirgatus,Ateles_belzebuth,Ateles_geoffroyi,Ateles_paniscus,Callicebus_moloch,Callimico_goeldii,Callithrix_jacchus,Callithrix_pygmaea,Cebus_albifrons,Cebus_apella,Cebus_capucinus,Cercocebus_galeritus,Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_neglectus,Cercopithecus_nictitans,Cheirogaleus_major,Cheirogaleus_medius,Colobus_guereza,Colobus_polykomos,Daubentonia_madagascariensis,Erythrocebus_patas,Eulemur_coronatus,Eulemur_mongoz,Galago_alleni,Galago_demidoff,Galago_moholi,Galago_senegalensis,Hylobates_lar,Hylobates_pileatus,Lemur_catta,Leontopithecus_rosalia,Lepilemur_leucopus,Lepilemur_mustelinus,Lophocebus_albigena,Loris_tardigradus,Macaca_fascicularis,Macaca_fuscata,Macaca_mulatta,Macaca_nemestrina,Macaca_radiata,Macaca_silenus,Macaca_sinica,Macaca_sylvanus,Mandrillus_sphinx,Microcebus_murinus,Microcebus_rufus,Miopithecus_talapoin,Mirza_coquereli,Nasalis_larvatus,Nomascus_concolor,Otolemur_crassicaudatus,Otolemur_garnettii,Pan_paniscus,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Perodicticus_potto,Prolemur_simus,Propithecus_verreauxi,Saguinus_fuscicollis,Saguinus_midas,Saguinus_oedipus,Saimiri_sciureus,Semnopithecus_entellus,Symphalangus_syndactylus,Tarsius_bancanus,Tarsius_syrichta,Theropithecus_gelada,Trachypithecus_obscurus	262.350022499711	0.842894752438264	260.697979142174	264.002065857247	3.30408671507359	0.994042396835425	narrow uncertainty	false
Alouatta_palliata|Alouatta_pigra|Alouatta_seniculus|Aotus_trivirgatus|Ateles_belzebuth|Ateles_geoffroyi|Ateles_paniscus|Callicebus_moloch|Callimico_goeldii|Callithrix_jacchus|Callithrix_pygmaea|Cebus_albifrons|Cebus_apella|Cebus_capucinus|Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Colobus_guereza|Colobus_polykomos|Erythrocebus_patas|Hylobates_lar|Hylobates_pileatus|Leontopithecus_rosalia|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Nasalis_larvatus|Nomascus_concolor|Pan_paniscus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Saguinus_fuscicollis|Saguinus_midas|Saguinus_oedipus|Saimiri_sciureus|Semnopithecus_entellus|Symphalangus_syndactylus|Tarsius_bancanus|Tarsius_syrichta|Theropithecus_gelada|Trachypithecus_obscurus	Node2	Alouatta_palliata,Alouatta_pigra,Alouatta_seniculus,Aotus_trivirgatus,Ateles_belzebuth,Ateles_geoffroyi,Ateles_paniscus,Callicebus_moloch,Callimico_goeldii,Callithrix_jacchus,Callithrix_pygmaea,Cebus_albifrons,Cebus_apella,Cebus_capucinus,Cercocebus_galeritus,Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_neglectus,Cercopithecus_nictitans,Colobus_guereza,Colobus_polykomos,Erythrocebus_patas,Hylobates_lar,Hylobates_pileatus,Leontopithecus_rosalia,Lophocebus_albigena,Macaca_fascicularis,Macaca_fuscata,Macaca_mulatta,Macaca_nemestrina,Macaca_radiata,Macaca_silenus,Macaca_sinica,Macaca_sylvanus,Mandrillus_sphinx,Miopithecus_talapoin,Nasalis_larvatus,Nomascus_concolor,Pan_paniscus,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Saguinus_fuscicollis,Saguinus_midas,Saguinus_oedipus,Saimiri_sciureus,Semnopithecus_entellus,Symphalangus_syndactylus,Tarsius_bancanus,Tarsius_syrichta,Theropithecus_gelada,Trachypithecus_obscurus	295.392237823336	1.10865177285171	293.21932027715	297.565155369521	4.34583509237166	0.992164018946319	narrow uncertainty	false
Alouatta_palliata|Alouatta_pigra|Alouatta_seniculus|Aotus_trivirgatus|Ateles_belzebuth|Ateles_geoffroyi|Ateles_paniscus|Callicebus_moloch|Callimico_goeldii|Callithrix_jacchus|Callithrix_pygmaea|Cebus_albifrons|Cebus_apella|Cebus_capucinus|Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Colobus_guereza|Colobus_polykomos|Erythrocebus_patas|Hylobates_lar|Hylobates_pileatus|Leontopithecus_rosalia|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Nasalis_larvatus|Nomascus_concolor|Pan_paniscus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Saguinus_fuscicollis|Saguinus_midas|Saguinus_oedipus|Saimiri_sciureus|Semnopithecus_entellus|Symphalangus_syndactylus|Theropithecus_gelada|Trachypithecus_obscurus	Node3	Alouatta_palliata,Alouatta_pigra,Alouatta_seniculus,Aotus_trivirgatus,Ateles_belzebuth,Ateles_geoffroyi,Ateles_paniscus,Callicebus_moloch,Callimico_goeldii,Callithrix_jacchus,Callithrix_pygmaea,Cebus_albifrons,Cebus_apella,Cebus_capucinus,Cercocebus_galeritus,Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_neglectus,Cercopithecus_nictitans,Colobus_guereza,Colobus_polykomos,Erythrocebus_patas,Hylobates_lar,Hylobates_pileatus,Leontopithecus_rosalia,Lophocebus_albigena,Macaca_fascicularis,Macaca_fuscata,Macaca_mulatta,Macaca_nemestrina,Macaca_radiata,Macaca_silenus,Macaca_sinica,Macaca_sylvanus,Mandrillus_sphinx,Miopithecus_talapoin,Nasalis_larvatus,Nomascus_concolor,Pan_paniscus,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Saguinus_fuscicollis,Saguinus_midas,Saguinus_oedipus,Saimiri_sciureus,Semnopithecus_entellus,Symphalangus_syndactylus,Theropithecus_gelada,Trachypithecus_obscurus	369.773311672215	0.884680090614945	368.039370556771	371.50725278766	3.46788223088981	0.993747056922305	narrow uncertainty	false
Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Colobus_guereza|Colobus_polykomos|Erythrocebus_patas|Hylobates_lar|Hylobates_pileatus|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Nasalis_larvatus|Nomascus_concolor|Pan_paniscus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Semnopithecus_entellus|Symphalangus_syndactylus|Theropithecus_gelada|Trachypithecus_obscurus	Node4	Cercocebus_galeritus,Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_neglectus,Cercopithecus_nictitans,Colobus_guereza,Colobus_polykomos,Erythrocebus_patas,Hylobates_lar,Hylobates_pileatus,Lophocebus_albigena,Macaca_fascicularis,Macaca_fuscata,Macaca_mulatta,Macaca_nemestrina,Macaca_radiata,Macaca_silenus,Macaca_sinica,Macaca_sylvanus,Mandrillus_sphinx,Miopithecus_talapoin,Nasalis_larvatus,Nomascus_concolor,Pan_paniscus,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Semnopithecus_entellus,Symphalangus_syndactylus,Theropithecus_gelada,Trachypithecus_obscurus	411.2760353975	0.653384670157213	409.995424975941	412.556645819058	2.56122084311744	0.995381859280351	narrow uncertainty	false
Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Colobus_guereza|Colobus_polykomos|Erythrocebus_patas|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Nasalis_larvatus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Semnopithecus_entellus|Theropithecus_gelada|Trachypithecus_obscurus	Node5	Cercocebus_galeritus,Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_neglectus,Cercopithecus_nictitans,Colobus_guereza,Colobus_polykomos,Erythrocebus_patas,Lophocebus_albigena,Macaca_fascicularis,Macaca_fuscata,Macaca_mulatta,Macaca_nemestrina,Macaca_radiata,Macaca_silenus,Macaca_sinica,Macaca_sylvanus,Mandrillus_sphinx,Miopithecus_talapoin,Nasalis_larvatus,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Semnopithecus_entellus,Theropithecus_gelada,Trachypithecus_obscurus	334.804088053515	0.509848530092344	333.804803296963	335.803372810066	1.99856951310335	0.996396376644242	narrow uncertainty	false
Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Erythrocebus_patas|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Theropithecus_gelada	Node6	Cercocebus_galeritus,Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_neglectus,Cercopithecus_nictitans,Erythrocebus_patas,Lophocebus_albigena,Macaca_fascicularis,Macaca_fuscata,Macaca_mulatta,Macaca_nemestrina,Macaca_radiata,Macaca_silenus,Macaca_sinica,Macaca_sylvanus,Mandrillus_sphinx,Miopithecus_talapoin,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Theropithecus_gelada	362.179365289143	0.430599277824017	361.335406212839	363.023324365447	1.68791815260806	0.996956512526852	narrow uncertainty	false
Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Erythrocebus_patas|Miopithecus_talapoin	Node7	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_neglectus,Cercopithecus_nictitans,Erythrocebus_patas,Miopithecus_talapoin	322.694834707862	0.527160765348841	321.661618593716	323.728050822009	2.06643222829257	0.996274013291936	narrow uncertainty	false
Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Erythrocebus_patas	Node8	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_neglectus,Cercopithecus_nictitans,Erythrocebus_patas	301.798460860436	0.462368167348954	300.892235904835	302.704685816038	1.81244991120343	0.996731969146766	narrow uncertainty	false
Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans	Node9	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_neglectus,Cercopithecus_nictitans	307.749145061376	0.448534661522906	306.870033278973	308.628256843779	1.75822356480546	0.99682974474431	narrow uncertainty	false
Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_nictitans	Node10	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans	304.0112324358	0.419138804264172	303.189735474919	304.832729396681	1.6429939217619	0.997037515467433	narrow uncertainty	false
