node	node_name	descendant_taxa	most_likely_state	state_set	state_probabilities	confidence	ambiguous	unstable	interpretation
Alouatta_palliata|Alouatta_pigra|Alouatta_seniculus|Aotus_trivirgatus|Ateles_belzebuth|Ateles_geoffroyi|Ateles_paniscus|Callicebus_moloch|Callimico_goeldii|Callithrix_jacchus|Callithrix_pygmaea|Cebus_albifrons|Cebus_apella|Cebus_capucinus|Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Cheirogaleus_major|Cheirogaleus_medius|Colobus_guereza|Colobus_polykomos|Daubentonia_madagascariensis|Erythrocebus_patas|Eulemur_coronatus|Eulemur_mongoz|Galago_alleni|Galago_demidoff|Galago_moholi|Galago_senegalensis|Hylobates_lar|Hylobates_pileatus|Lemur_catta|Leontopithecus_rosalia|Lepilemur_leucopus|Lepilemur_mustelinus|Lophocebus_albigena|Loris_tardigradus|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Microcebus_murinus|Microcebus_rufus|Miopithecus_talapoin|Mirza_coquereli|Nasalis_larvatus|Nomascus_concolor|Otolemur_crassicaudatus|Otolemur_garnettii|Pan_paniscus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Perodicticus_potto|Prolemur_simus|Propithecus_verreauxi|Saguinus_fuscicollis|Saguinus_midas|Saguinus_oedipus|Saimiri_sciureus|Semnopithecus_entellus|Symphalangus_syndactylus|Tarsius_bancanus|Tarsius_syrichta|Theropithecus_gelada|Trachypithecus_obscurus	Node1	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans,Cercopithecus_neglectus,Erythrocebus_patas,Miopithecus_talapoin,Cercocebus_galeritus,Mandrillus_sphinx,Lophocebus_albigena,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Theropithecus_gelada,Macaca_fuscata,Macaca_mulatta,Macaca_fascicularis,Macaca_radiata,Macaca_sinica,Macaca_nemestrina,Macaca_silenus,Macaca_sylvanus,Colobus_guereza,Colobus_polykomos,Nasalis_larvatus,Semnopithecus_entellus,Trachypithecus_obscurus,Hylobates_lar,Hylobates_pileatus,Symphalangus_syndactylus,Nomascus_concolor,Pan_paniscus,Alouatta_seniculus,Alouatta_palliata,Alouatta_pigra,Ateles_belzebuth,Ateles_geoffroyi,Ateles_paniscus,Aotus_trivirgatus,Callimico_goeldii,Callithrix_pygmaea,Callithrix_jacchus,Leontopithecus_rosalia,Saguinus_fuscicollis,Saguinus_oedipus,Saguinus_midas,Cebus_albifrons,Cebus_capucinus,Cebus_apella,Saimiri_sciureus,Callicebus_moloch,Tarsius_bancanus,Tarsius_syrichta,Microcebus_rufus,Microcebus_murinus,Mirza_coquereli,Cheirogaleus_medius,Cheirogaleus_major,Lepilemur_leucopus,Lepilemur_mustelinus,Propithecus_verreauxi,Eulemur_coronatus,Eulemur_mongoz,Prolemur_simus,Lemur_catta,Daubentonia_madagascariensis,Perodicticus_potto,Galago_demidoff,Galago_alleni,Galago_senegalensis,Otolemur_crassicaudatus,Otolemur_garnettii,Galago_moholi,Loris_tardigradus	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333333333333, ""Polyandrous"": 0.333333333333333, ""Polygynous"": 0.333333333333333}"	0.333333333333333	true	true	unstable node state
Alouatta_palliata|Alouatta_pigra|Alouatta_seniculus|Aotus_trivirgatus|Ateles_belzebuth|Ateles_geoffroyi|Ateles_paniscus|Callicebus_moloch|Callimico_goeldii|Callithrix_jacchus|Callithrix_pygmaea|Cebus_albifrons|Cebus_apella|Cebus_capucinus|Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Colobus_guereza|Colobus_polykomos|Erythrocebus_patas|Hylobates_lar|Hylobates_pileatus|Leontopithecus_rosalia|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Nasalis_larvatus|Nomascus_concolor|Pan_paniscus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Saguinus_fuscicollis|Saguinus_midas|Saguinus_oedipus|Saimiri_sciureus|Semnopithecus_entellus|Symphalangus_syndactylus|Tarsius_bancanus|Tarsius_syrichta|Theropithecus_gelada|Trachypithecus_obscurus	Node2	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans,Cercopithecus_neglectus,Erythrocebus_patas,Miopithecus_talapoin,Cercocebus_galeritus,Mandrillus_sphinx,Lophocebus_albigena,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Theropithecus_gelada,Macaca_fuscata,Macaca_mulatta,Macaca_fascicularis,Macaca_radiata,Macaca_sinica,Macaca_nemestrina,Macaca_silenus,Macaca_sylvanus,Colobus_guereza,Colobus_polykomos,Nasalis_larvatus,Semnopithecus_entellus,Trachypithecus_obscurus,Hylobates_lar,Hylobates_pileatus,Symphalangus_syndactylus,Nomascus_concolor,Pan_paniscus,Alouatta_seniculus,Alouatta_palliata,Alouatta_pigra,Ateles_belzebuth,Ateles_geoffroyi,Ateles_paniscus,Aotus_trivirgatus,Callimico_goeldii,Callithrix_pygmaea,Callithrix_jacchus,Leontopithecus_rosalia,Saguinus_fuscicollis,Saguinus_oedipus,Saguinus_midas,Cebus_albifrons,Cebus_capucinus,Cebus_apella,Saimiri_sciureus,Callicebus_moloch,Tarsius_bancanus,Tarsius_syrichta	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333333333333, ""Polyandrous"": 0.333333333333333, ""Polygynous"": 0.333333333333333}"	0.333333333333333	true	true	unstable node state
Alouatta_palliata|Alouatta_pigra|Alouatta_seniculus|Aotus_trivirgatus|Ateles_belzebuth|Ateles_geoffroyi|Ateles_paniscus|Callicebus_moloch|Callimico_goeldii|Callithrix_jacchus|Callithrix_pygmaea|Cebus_albifrons|Cebus_apella|Cebus_capucinus|Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Colobus_guereza|Colobus_polykomos|Erythrocebus_patas|Hylobates_lar|Hylobates_pileatus|Leontopithecus_rosalia|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Nasalis_larvatus|Nomascus_concolor|Pan_paniscus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Saguinus_fuscicollis|Saguinus_midas|Saguinus_oedipus|Saimiri_sciureus|Semnopithecus_entellus|Symphalangus_syndactylus|Theropithecus_gelada|Trachypithecus_obscurus	Node3	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans,Cercopithecus_neglectus,Erythrocebus_patas,Miopithecus_talapoin,Cercocebus_galeritus,Mandrillus_sphinx,Lophocebus_albigena,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Theropithecus_gelada,Macaca_fuscata,Macaca_mulatta,Macaca_fascicularis,Macaca_radiata,Macaca_sinica,Macaca_nemestrina,Macaca_silenus,Macaca_sylvanus,Colobus_guereza,Colobus_polykomos,Nasalis_larvatus,Semnopithecus_entellus,Trachypithecus_obscurus,Hylobates_lar,Hylobates_pileatus,Symphalangus_syndactylus,Nomascus_concolor,Pan_paniscus,Alouatta_seniculus,Alouatta_palliata,Alouatta_pigra,Ateles_belzebuth,Ateles_geoffroyi,Ateles_paniscus,Aotus_trivirgatus,Callimico_goeldii,Callithrix_pygmaea,Callithrix_jacchus,Leontopithecus_rosalia,Saguinus_fuscicollis,Saguinus_oedipus,Saguinus_midas,Cebus_albifrons,Cebus_capucinus,Cebus_apella,Saimiri_sciureus,Callicebus_moloch	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333333333333, ""Polyandrous"": 0.333333333333333, ""Polygynous"": 0.333333333333333}"	0.333333333333333	true	true	unstable node state
Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Colobus_guereza|Colobus_polykomos|Erythrocebus_patas|Hylobates_lar|Hylobates_pileatus|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Nasalis_larvatus|Nomascus_concolor|Pan_paniscus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Semnopithecus_entellus|Symphalangus_syndactylus|Theropithecus_gelada|Trachypithecus_obscurus	Node4	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans,Cercopithecus_neglectus,Erythrocebus_patas,Miopithecus_talapoin,Cercocebus_galeritus,Mandrillus_sphinx,Lophocebus_albigena,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Theropithecus_gelada,Macaca_fuscata,Macaca_mulatta,Macaca_fascicularis,Macaca_radiata,Macaca_sinica,Macaca_nemestrina,Macaca_silenus,Macaca_sylvanus,Colobus_guereza,Colobus_polykomos,Nasalis_larvatus,Semnopithecus_entellus,Trachypithecus_obscurus,Hylobates_lar,Hylobates_pileatus,Symphalangus_syndactylus,Nomascus_concolor,Pan_paniscus	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333333333333, ""Polyandrous"": 0.333333333333333, ""Polygynous"": 0.333333333333333}"	0.333333333333333	true	true	unstable node state
Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Colobus_guereza|Colobus_polykomos|Erythrocebus_patas|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Nasalis_larvatus|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Semnopithecus_entellus|Theropithecus_gelada|Trachypithecus_obscurus	Node5	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans,Cercopithecus_neglectus,Erythrocebus_patas,Miopithecus_talapoin,Cercocebus_galeritus,Mandrillus_sphinx,Lophocebus_albigena,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Theropithecus_gelada,Macaca_fuscata,Macaca_mulatta,Macaca_fascicularis,Macaca_radiata,Macaca_sinica,Macaca_nemestrina,Macaca_silenus,Macaca_sylvanus,Colobus_guereza,Colobus_polykomos,Nasalis_larvatus,Semnopithecus_entellus,Trachypithecus_obscurus	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333333333333, ""Polyandrous"": 0.333333333333333, ""Polygynous"": 0.333333333333334}"	0.333333333333334	true	true	unstable node state
Cercocebus_galeritus|Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Erythrocebus_patas|Lophocebus_albigena|Macaca_fascicularis|Macaca_fuscata|Macaca_mulatta|Macaca_nemestrina|Macaca_radiata|Macaca_silenus|Macaca_sinica|Macaca_sylvanus|Mandrillus_sphinx|Miopithecus_talapoin|Papio_anubis|Papio_cynocephalus|Papio_hamadryas|Papio_ursinus|Theropithecus_gelada	Node6	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans,Cercopithecus_neglectus,Erythrocebus_patas,Miopithecus_talapoin,Cercocebus_galeritus,Mandrillus_sphinx,Lophocebus_albigena,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_ursinus,Theropithecus_gelada,Macaca_fuscata,Macaca_mulatta,Macaca_fascicularis,Macaca_radiata,Macaca_sinica,Macaca_nemestrina,Macaca_silenus,Macaca_sylvanus	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333333332198, ""Polyandrous"": 0.333333333331976, ""Polygynous"": 0.333333333335826}"	0.333333333335826	true	true	unstable node state
Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Erythrocebus_patas|Miopithecus_talapoin	Node7	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans,Cercopithecus_neglectus,Erythrocebus_patas,Miopithecus_talapoin	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333333262712, ""Polyandrous"": 0.33333333321001, ""Polygynous"": 0.333333333527278}"	0.333333333527278	true	true	unstable node state
Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans|Erythrocebus_patas	Node8	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans,Cercopithecus_neglectus,Erythrocebus_patas	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333325712452, ""Polyandrous"": 0.333333318131702, ""Polygynous"": 0.333333356155846}"	0.333333356155846	true	true	unstable node state
Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_neglectus|Cercopithecus_nictitans	Node9	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans,Cercopithecus_neglectus	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333293604797, ""Polyandrous"": 0.333333234854818, ""Polygynous"": 0.333333471540385}"	0.333333471540385	true	true	unstable node state
Cercopithecus_ascanius|Cercopithecus_cephus|Cercopithecus_mitis|Cercopithecus_nictitans	Node10	Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_mitis,Cercopithecus_nictitans	Polygynous	Pair,Polyandrous,Polygynous	"{""Pair"": 0.333333072279171, ""Polyandrous"": 0.333332299949545, ""Polygynous"": 0.333334627771283}"	0.333334627771283	true	true	unstable node state
