mode	lambda_value	log_likelihood	delta_log_likelihood	within_95_confidence_interval	profile_lower_95_confidence_interval	profile_upper_95_confidence_interval	null_log_likelihood	brownian_log_likelihood
estimated	0	-456.310146563131	12.2409984008673	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.01	-455.641894124407	11.5727459621433	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.02	-455.059060048405	10.9899118861412	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.03	-454.545532971751	10.4763848094875	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.04	-454.088374644079	10.0192264818149	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.05	-453.67740838591	9.60826022364648	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.06	-453.304633575821	9.23548541355763	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.07	-452.963720543829	8.89457238156496	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.08	-452.649618120837	8.58046995857376	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.09	-452.358257918461	8.28910975619692	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.1	-452.086332983592	8.01718482132856	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.11	-451.831131666698	7.76198350443383	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.12	-451.590412085658	7.52126392339483	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.13	-451.362306462428	7.29315830016424	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.14	-451.145247564588	7.07609940232453	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.15	-450.937911630479	6.8687634682156	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.16	-450.739173692513	6.67002553024912	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.17	-450.548072309149	6.47892414688567	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.18	-450.363781500226	6.29463333796195	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.19	-450.185588244859	6.11644008259555	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.2	-450.012874310614	5.94372614835032	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.21	-449.845101481997	5.77595331973373	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.22	-449.681799477123	5.61265131485976	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.23	-449.522556005526	5.45340784326186	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.24	-449.367008543166	5.29786038090248	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.25	-449.214837493694	5.14568933143062	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.26	-449.06576047583	4.99661231356623	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.27	-448.919527531095	4.85037936883134	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.28	-448.775917088112	4.70676892584862	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.29	-448.634732552357	4.56558439009291	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.3	-448.495799415845	4.42665125358167	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.31	-448.358962801422	4.28981463915801	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.32	-448.224085372283	4.15493721001906	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.33	-448.091045550176	4.02189738791225	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.34	-447.95973599593	3.89058783366613	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.35	-447.830062314262	3.76091415199818	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.36	-447.701941951528	3.63279378926438	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.37	-447.575303260571	3.50615509830703	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.38	-447.450084711341	3.38093654907777	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.39	-447.32623422972	3.25708606745604	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.4	-447.203708650074	3.13456048780984	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.41	-447.082473269739	3.01332510747511	false	0.51	0.9	-456.310146563131	-474.563014783386
