trait	observed_k	estimated_lambda	permutations	signal_permutation_p_value	permutation_index	permuted_k	at_or_above_observed
longevity	0.246130162370828	0.805	11	0.0833333333333333	1	0.118665065217183	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	2	0.0863798394674049	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	3	0.157587031910992	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	4	0.0764591749798711	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	5	0.103608093144969	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	6	0.12550881341951	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	7	0.0917768384306347	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	8	0.130960791743475	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	9	0.102387372418954	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	10	0.0854935516968586	false
longevity	0.246130162370828	0.805	11	0.0833333333333333	11	0.140714945312577	false
