marker_id	label	marker_kind	latitude	longitude	state_label	descendant_taxa	confidence	uncertainty_km	is_tip	is_root	active_line_count
bat_chile_rv108	bat_chile_rv108	tip	-23.55	-58.44	south_america	bat_chile_rv108	1.0		true	false	1
bat_chile_rv50	bat_chile_rv50	tip	39.83	-98.58	north_america	bat_chile_rv50	1.0		true	false	1
cattle_russia_4092_13_2025	cattle_russia_4092_13_2025	tip	55.0	82.9	north_asia	cattle_russia_4092_13_2025	1.0		true	false	0
cattle_russia_4092_15_2025	cattle_russia_4092_15_2025	tip	55.0	82.9	north_asia	cattle_russia_4092_15_2025	1.0		true	false	0
raccoon_dog_russia_4092_26_2025	raccoon_dog_russia_4092_26_2025	tip	55.0	82.9	north_asia	raccoon_dog_russia_4092_26_2025	1.0		true	false	0
red_fox_russia_4092_20_2025	red_fox_russia_4092_20_2025	tip	55.0	82.9	north_asia	red_fox_russia_4092_20_2025	1.0		true	false	0
red_fox_russia_4092_18_2025	red_fox_russia_4092_18_2025	tip	55.0	82.9	north_asia	red_fox_russia_4092_18_2025	1.0		true	false	0
raccoon_dog_poland_2021	raccoon_dog_poland_2021	tip	52.2	19.15	europe	raccoon_dog_poland_2021	1.0		true	false	1
dog_pakistan_pdb011	dog_pakistan_pdb011	tip	29.5	76.0	south_asia	dog_pakistan_pdb011	1.0		true	false	1
bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	root	55.0	82.9	north_asia	bat_chile_rv108,bat_chile_rv50,cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,dog_pakistan_pdb011,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	0.789473683013851		false	true	1
bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	ancestral	55.0	82.9	north_asia	bat_chile_rv50,cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,dog_pakistan_pdb011,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	0.877697841307386		false	false	1
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	100	ancestral	55.0	82.9	north_asia	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,dog_pakistan_pdb011,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	0.929504327187016		false	false	1
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	100	ancestral	55.0	82.9	north_asia	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	0.967022522424524		false	false	1
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	99	ancestral	55.0	82.9	north_asia	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	1.0		false	false	0
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	100	ancestral	55.0	82.9	north_asia	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025	1.0		false	false	0
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	92	ancestral	55.0	82.9	north_asia	raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	1.0		false	false	0
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	84	ancestral	55.0	82.9	north_asia	raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_20_2025	1.0		false	false	0
