clade	tree_count	frequency
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	1000	1
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	1000	1
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021	2	0.002
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025	3	0.003
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	999	0.999
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	2	0.002
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|red_fox_russia_4092_18_2025	1	0.001
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025	23	0.023
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025	8	0.008
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	990	0.99
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	27	0.027
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025	25	0.025
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	8	0.008
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_20_2025	1	0.001
dog_pakistan_pdb011|raccoon_dog_poland_2021	1	0.001
raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025	3	0.003
raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025	1	0.001
raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	4	0.004
raccoon_dog_poland_2021|red_fox_russia_4092_20_2025	1	0.001
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025	60	0.06
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	922	0.922
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	844	0.844
red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	75	0.075
