clade	tree_count	frequency	conflict_count	instability_score	support_classification	conflicting_clades
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	844	0.844	10	0.156	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	922	0.922	12	0.078	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|red_fox_russia_4092_20_2025
red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	75	0.075	11	0.075	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025	60	0.06	9	0.06	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	27	0.027	13	0.027	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025	25	0.025	10	0.025	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025	23	0.023	11	0.023	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	990	0.99	8	0.01	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|red_fox_russia_4092_20_2025
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	8	0.008	13	0.008	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025	8	0.008	12	0.008	credibility-conflicted	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|red_fox_russia_4092_18_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|red_fox_russia_4092_20_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025,raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025,raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025,red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025
