source_path	tree_index	node_kind	clade_id	node_label	taxon_count	taxa	support	support_fraction	branch_length	root_depth	descendant_tip_depth_min	descendant_tip_depth_max	node_age	host_species_values	host_species_distinct_values	host_species_missing_taxa	host_group_values	host_group_distinct_values	host_group_missing_taxa	country_values	country_distinct_values	country_missing_taxa	region_group_values	region_group_distinct_values	region_group_missing_taxa
rabies-cross-host-geography-panel.rooted.tree		tip	bat_chile_rv108	bat_chile_rv108	1	bat_chile_rv108			0.0	0.0	0.0	0.0		bat_chile_rv108=bat	bat		bat_chile_rv108=bat	bat		bat_chile_rv108=Chile	Chile		bat_chile_rv108=south_america	south_america	
rabies-cross-host-geography-panel.rooted.tree		tip	bat_chile_rv50	bat_chile_rv50	1	bat_chile_rv50			0.035975039	0.0910102579	0.0	0.0		bat_chile_rv50=bat	bat		bat_chile_rv50=bat	bat		bat_chile_rv50=USA	USA		bat_chile_rv50=north_america	north_america	
rabies-cross-host-geography-panel.rooted.tree		tip	cattle_russia_4092_13_2025	cattle_russia_4092_13_2025	1	cattle_russia_4092_13_2025			0.0014887146	0.2952950866	0.0	0.0		cattle_russia_4092_13_2025=cattle	cattle		cattle_russia_4092_13_2025=livestock	livestock		cattle_russia_4092_13_2025=Russia: the selo of Ivanovka, Bagansky District, Novosibirsk Oblast	Russia: the selo of Ivanovka, Bagansky District, Novosibirsk Oblast		cattle_russia_4092_13_2025=north_asia	north_asia	
rabies-cross-host-geography-panel.rooted.tree		tip	cattle_russia_4092_15_2025	cattle_russia_4092_15_2025	1	cattle_russia_4092_15_2025			1e-06	0.293807372	0.0	0.0		cattle_russia_4092_15_2025=cattle	cattle		cattle_russia_4092_15_2025=livestock	livestock		cattle_russia_4092_15_2025=Russia: the cattlegrave of Chainsky, Kupinsky District, Novosibirsk Oblast	Russia: the cattlegrave of Chainsky, Kupinsky District, Novosibirsk Oblast		cattle_russia_4092_15_2025=north_asia	north_asia	
rabies-cross-host-geography-panel.rooted.tree		internal	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	100	2	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	100.0	1.0	0.0170069874	0.293806372	1e-06	0.0014887146		cattle_russia_4092_13_2025=cattle|cattle_russia_4092_15_2025=cattle	cattle		cattle_russia_4092_13_2025=livestock|cattle_russia_4092_15_2025=livestock	livestock		cattle_russia_4092_13_2025=Russia: the selo of Ivanovka, Bagansky District, Novosibirsk Oblast|cattle_russia_4092_15_2025=Russia: the cattlegrave of Chainsky, Kupinsky District, Novosibirsk Oblast	Russia: the cattlegrave of Chainsky, Kupinsky District, Novosibirsk Oblast|Russia: the selo of Ivanovka, Bagansky District, Novosibirsk Oblast		cattle_russia_4092_13_2025=north_asia|cattle_russia_4092_15_2025=north_asia	north_asia	
rabies-cross-host-geography-panel.rooted.tree		tip	raccoon_dog_russia_4092_26_2025	raccoon_dog_russia_4092_26_2025	1	raccoon_dog_russia_4092_26_2025			0.0084729847	0.2956156837	0.0	0.0		raccoon_dog_russia_4092_26_2025=raccoon dog	raccoon dog		raccoon_dog_russia_4092_26_2025=canid	canid		raccoon_dog_russia_4092_26_2025=Russia: the selo of Novotyrtyshkino, Kolyvansky District, Novosibirsk Oblast	Russia: the selo of Novotyrtyshkino, Kolyvansky District, Novosibirsk Oblast		raccoon_dog_russia_4092_26_2025=north_asia	north_asia	
rabies-cross-host-geography-panel.rooted.tree		tip	red_fox_russia_4092_20_2025	red_fox_russia_4092_20_2025	1	red_fox_russia_4092_20_2025			0.0035047161	0.2906474151	0.0	0.0		red_fox_russia_4092_20_2025=red fox	red fox		red_fox_russia_4092_20_2025=canid	canid		red_fox_russia_4092_20_2025=Russia: the settlment of Berezovka, Iskitimsky District, Novosibirsk Oblast	Russia: the settlment of Berezovka, Iskitimsky District, Novosibirsk Oblast		red_fox_russia_4092_20_2025=north_asia	north_asia	
rabies-cross-host-geography-panel.rooted.tree		internal	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	84	2	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	84.0	0.84	0.0024457758	0.287142699	0.0035047161	0.0084729847		raccoon_dog_russia_4092_26_2025=raccoon dog|red_fox_russia_4092_20_2025=red fox	raccoon dog|red fox		raccoon_dog_russia_4092_26_2025=canid|red_fox_russia_4092_20_2025=canid	canid		raccoon_dog_russia_4092_26_2025=Russia: the selo of Novotyrtyshkino, Kolyvansky District, Novosibirsk Oblast|red_fox_russia_4092_20_2025=Russia: the settlment of Berezovka, Iskitimsky District, Novosibirsk Oblast	Russia: the selo of Novotyrtyshkino, Kolyvansky District, Novosibirsk Oblast|Russia: the settlment of Berezovka, Iskitimsky District, Novosibirsk Oblast		raccoon_dog_russia_4092_26_2025=north_asia|red_fox_russia_4092_20_2025=north_asia	north_asia	
rabies-cross-host-geography-panel.rooted.tree		tip	red_fox_russia_4092_18_2025	red_fox_russia_4092_18_2025	1	red_fox_russia_4092_18_2025			0.0079272599	0.2926241831	0.0	0.0		red_fox_russia_4092_18_2025=red fox	red fox		red_fox_russia_4092_18_2025=canid	canid		red_fox_russia_4092_18_2025=Russia: the selo of Kochki, Kochkovsky District, Novosibirsk Oblast	Russia: the selo of Kochki, Kochkovsky District, Novosibirsk Oblast		red_fox_russia_4092_18_2025=north_asia	north_asia	
rabies-cross-host-geography-panel.rooted.tree		internal	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	92	3	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	92.0	0.92	0.0078975386	0.2846969232	0.0059504919	0.0109187605		raccoon_dog_russia_4092_26_2025=raccoon dog|red_fox_russia_4092_18_2025=red fox|red_fox_russia_4092_20_2025=red fox	raccoon dog|red fox		raccoon_dog_russia_4092_26_2025=canid|red_fox_russia_4092_18_2025=canid|red_fox_russia_4092_20_2025=canid	canid		raccoon_dog_russia_4092_26_2025=Russia: the selo of Novotyrtyshkino, Kolyvansky District, Novosibirsk Oblast|red_fox_russia_4092_18_2025=Russia: the selo of Kochki, Kochkovsky District, Novosibirsk Oblast|red_fox_russia_4092_20_2025=Russia: the settlment of Berezovka, Iskitimsky District, Novosibirsk Oblast	Russia: the selo of Kochki, Kochkovsky District, Novosibirsk Oblast|Russia: the selo of Novotyrtyshkino, Kolyvansky District, Novosibirsk Oblast|Russia: the settlment of Berezovka, Iskitimsky District, Novosibirsk Oblast		raccoon_dog_russia_4092_26_2025=north_asia|red_fox_russia_4092_18_2025=north_asia|red_fox_russia_4092_20_2025=north_asia	north_asia	
