mode	lambda_value	log_likelihood	delta_log_likelihood	within_95_confidence_interval	profile_lower_95_confidence_interval	profile_upper_95_confidence_interval	null_log_likelihood	brownian_log_likelihood
estimated	0	-36.6353040855766	3.36497985884165	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.01	-36.6488585038647	3.37853427712971	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.02	-36.6610987526581	3.39077452592316	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.03	-36.6721441273514	3.40181990061638	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.04	-36.6820978341723	3.41177360743734	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.05	-36.6910497499195	3.42072552318454	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.06	-36.6990786136723	3.42875438693738	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.07	-36.7062537851871	3.43592955845209	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.08	-36.7126366688247	3.44231244208972	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.09	-36.7182818765059	3.44795764977096	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.1	-36.7232381850037	3.45291395826874	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.11	-36.7275493296669	3.45722510293196	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.12	-36.7312546669415	3.46093044020655	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.13	-36.7343897308138	3.46406550407885	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.14	-36.7369867028536	3.46666247611867	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.15	-36.7390748113958	3.46875058466083	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.16	-36.7406806722243	3.47035644548933	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.17	-36.7418285806692	3.47150435393428	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.18	-36.7425407631118	3.47221653637688	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.19	-36.7428375943891	3.47251336765417	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.2	-36.7427377863997	3.47241355966469	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.21	-36.7422585522628	3.47193432552788	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.22	-36.7414157496243	3.47109152288931	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.23	-36.7402240060851	3.46989977935012	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.24	-36.7386968292353	3.46837260250031	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.25	-36.7368467033638	3.46652247662878	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.26	-36.7346851745838	3.46436094784882	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.27	-36.7322229258362	3.46189869910126	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.28	-36.7294698430038	3.45914561626886	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.29	-36.7264350731784	3.45611084644342	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.3	-36.7231270759614	3.45280284922642	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.31	-36.7195536685428	3.44922944180784	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.32	-36.7157220651869	3.44539783845194	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.33	-36.7116389116542	3.44131468491918	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.34	-36.7073103150027	3.4369860882677	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.35	-36.7027418691375	3.43241764240248	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.36	-36.6979386764089	3.42761444967389	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.37	-36.692905365503	3.42258113876798	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.38	-36.6876461058123	3.41732187907735	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.39	-36.6821646184259	3.41184039169096	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.4	-36.6764641838306	3.40613995709566	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.41	-36.6705476463713	3.40022341963635	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.42	-36.6644174154739	3.39409318873893	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.43	-36.6580754635909	3.38775123685598	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.44	-36.6515233207855	3.38119909405055	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.45	-36.6447620658221	3.37443783908709	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.46	-36.6377923135841	3.36746808684913	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.47	-36.6306141985849	3.36028997184995	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.48	-36.6232273542789	3.3529031275439	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.49	-36.6156308878159	3.34530666108091	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.5	-36.6078233498085	3.33749912307348	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.51	-36.5998026985969	3.32947847186191	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.52	-36.5915662584031	3.32124203166811	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.53	-36.5831106706525	3.31278644391755	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.54	-36.574431837616	3.30410761088103	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.55	-36.565524857372	3.29520063063703	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.56	-36.5563839489141	3.28605972217908	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.57	-36.5470023660187	3.27667813928373	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.58	-36.5373722982416	3.26704807150666	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.59	-36.527484757114	3.25716053037907	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.6	-36.5173294452573	3.2470052185223	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.61	-36.5068946057079	3.2365703789729	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.62	-36.4961668482309	3.22584262149594	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.63	-36.4851309487752	3.21480672204019	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.64	-36.4737696174628	3.20344539072781	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.65	-36.4620632295745	3.19173900283955	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.66	-36.4499895128444	3.17966528610938	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.67	-36.4375231829589	3.16719895622394	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.68	-36.4246355173926	3.15431129065766	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.69	-36.4112938555026	3.14096962876761	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.7	-36.3974610100303	3.12713678329538	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.71	-36.3830945716425	3.1127703449075	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.72	-36.368146083659	3.09782185692407	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.73	-36.3525600583667	3.08223583163171	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.74	-36.336272798869	3.06594857213408	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.75	-36.3192109807213	3.0488867539863	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.76	-36.3012899348248	3.03096570808985	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.77	-36.2824115561025	3.01208732936754	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.78	-36.2624617397273	2.99213751299236	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.79	-36.2413072158346	2.97098298909962	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.8	-36.2187916113227	2.9484673845877	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.81	-36.19473050852	2.92440628178504	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.82	-36.1689051875723	2.89858096083736	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.83	-36.1410546206982	2.87073039396323	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.84	-36.1108651136207	2.84054088688573	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.85	-36.0779567330354	2.80763250630045	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.86	-36.041865270408	2.77154104367304	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.87	-36.0020178896141	2.7316936628791	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.88	-35.9576996456351	2.68737541890017	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.89	-35.9080064845597	2.63768225782472	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.9	-35.8517776535557	2.58145342682068	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.91	-35.7874957004931	2.51717147375811	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.92	-35.7131334196146	2.4428091928796	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.93	-35.6259097359788	2.35558550924379	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.94	-35.5218798558942	2.25155562915926	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.95	-35.3952004103202	2.12487618358523	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.96	-35.236691214909	1.96636698817406	false	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.97	-35.0306505732435	1.76032634650851	true	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.98	-34.7463329239347	1.47600869719976	true	0.97	1	-36.6353040855766	-33.270324226735
estimated	0.99	-34.3059353507221	1.03561112398717	true	0.97	1	-36.6353040855766	-33.270324226735
estimated	1	-33.270324226735	0	true	0.97	1	-36.6353040855766	-33.270324226735
