trait	clade_id	descendant_taxa	baseline_state	bootstrap_dominant_state	bootstrap_state_consistency	method_dominant_state	method_state_consistency	combined_score	stability_class	evidence
host_group	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_20_2025	canid	canid	1	canid	1	1	stable	baseline_state=canid; bootstrap_state_consistency=1; method_state_consistency=1
host_group	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	canid	canid	1	canid	1	1	stable	baseline_state=canid; bootstrap_state_consistency=1; method_state_consistency=1
host_group	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	canid	canid	1	canid	1	1	stable	baseline_state=canid; bootstrap_state_consistency=1; method_state_consistency=1
host_group	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	canid	canid	1	canid	1	1	stable	baseline_state=canid; bootstrap_state_consistency=1; method_state_consistency=1
host_group	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,dog_pakistan_pdb011,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	canid	canid	1	canid	1	1	stable	baseline_state=canid; bootstrap_state_consistency=1; method_state_consistency=1
host_group	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025	livestock	livestock	1	livestock	1	1	stable	baseline_state=livestock; bootstrap_state_consistency=1; method_state_consistency=1
host_group	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50,cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,dog_pakistan_pdb011,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	bat	bat	1	bat	1	1	stable	baseline_state=bat; bootstrap_state_consistency=1; method_state_consistency=1
host_group	bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv108,bat_chile_rv50,cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,dog_pakistan_pdb011,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	bat	bat	1	bat	1	1	stable	baseline_state=bat; bootstrap_state_consistency=1; method_state_consistency=1
region_group	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_20_2025	north_asia	north_asia	1	north_asia	1	1	stable	baseline_state=north_asia; bootstrap_state_consistency=1; method_state_consistency=1
region_group	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	north_asia	north_asia	1	north_asia	1	1	stable	baseline_state=north_asia; bootstrap_state_consistency=1; method_state_consistency=1
