branch_id	parent_node	child_node	child_descendant_taxa	branch_length	parent_most_likely_host	child_most_likely_host	parent_host_set	child_host_set	overlapping_hosts	changed	transition	certainty_class	parent_confidence	child_confidence	transition_allowed
bat_chile_rv108	bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv108	bat_chile_rv108	0.0	bat	bat	bat	bat	bat	false		no_switch	1.0	1.0	true
bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50,cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_20_2025,red_fox_russia_4092_18_2025,raccoon_dog_poland_2021,dog_pakistan_pdb011	0.0550352189	bat	bat	bat	bat	bat	false		no_switch	1.0	0.999998763459408	true
bat_chile_rv50	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50	bat_chile_rv50	0.035975039	bat	bat	bat	bat	bat	false		no_switch	0.999998763459408	1.0	true
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_20_2025,red_fox_russia_4092_18_2025,raccoon_dog_poland_2021,dog_pakistan_pdb011	0.1360134198	bat	canid	bat	bat,canid,livestock	bat	true	bat->canid	uncertain_switch	0.999998763459408	0.72786031255022	true
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_20_2025,red_fox_russia_4092_18_2025,raccoon_dog_poland_2021	0.0631040468	canid	canid	bat,canid,livestock	canid,livestock	canid,livestock	false		no_switch	0.72786031255022	0.799189871225867	true
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_20_2025,red_fox_russia_4092_18_2025	0.0226466991	canid	canid	canid,livestock	canid,livestock	canid,livestock	false		no_switch	0.799189871225867	0.806547861041684	true
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025	0.0170069874	canid	livestock	canid,livestock	livestock	livestock	true	canid->livestock	uncertain_switch	0.806547861041684	0.999995752894538	true
cattle_russia_4092_13_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	cattle_russia_4092_13_2025	cattle_russia_4092_13_2025	0.0014887146	livestock	livestock	livestock	livestock	livestock	false		no_switch	0.999995752894538	1.0	true
cattle_russia_4092_15_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	cattle_russia_4092_15_2025	cattle_russia_4092_15_2025	1e-06	livestock	livestock	livestock	livestock	livestock	false		no_switch	0.999995752894538	1.0	true
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_20_2025,red_fox_russia_4092_18_2025	0.0078975386	canid	canid	canid,livestock	canid	canid	false		no_switch	0.806547861041684	0.951552510972394	true
