source_region	target_region	rate	lower_95_interval	upper_95_interval	effective_transition_count
europe	europe	0.8	0.8	0.8	4.0
europe	north_america	0.05	0.0	0.134870489570875	1.0
europe	north_asia	0.05	0.0	0.134870489570875	1.0
europe	south_america	0.05	0.0	0.134870489570875	1.0
europe	south_asia	0.05	0.0	0.134870489570875	1.0
north_america	europe	0.05	0.0	0.134870489570875	1.0
north_america	north_america	0.8	0.8	0.8	4.0
north_america	north_asia	0.05	0.0	0.134870489570875	1.0
north_america	south_america	0.05	0.0	0.134870489570875	1.0
north_america	south_asia	0.05	0.0	0.134870489570875	1.0
north_asia	europe	0.05	0.0	0.110012498698188	2.0
north_asia	north_america	0.05	0.0	0.110012498698188	2.0
north_asia	north_asia	0.8	0.8	0.8	8.0
north_asia	south_america	0.05	0.0	0.110012498698188	2.0
north_asia	south_asia	0.05	0.0	0.110012498698188	2.0
south_america	europe	0.05	0.0	0.134870489570875	1.0
south_america	north_america	0.05	0.0	0.134870489570875	1.0
south_america	north_asia	0.05	0.0	0.134870489570875	1.0
south_america	south_america	0.8	0.8	0.8	4.0
south_america	south_asia	0.05	0.0	0.134870489570875	1.0
south_asia	europe	0.05	0.0	0.134870489570875	1.0
south_asia	north_america	0.05	0.0	0.134870489570875	1.0
south_asia	north_asia	0.05	0.0	0.134870489570875	1.0
south_asia	south_america	0.05	0.0	0.134870489570875	1.0
south_asia	south_asia	0.8	0.8	0.8	4.0
