split_id	comparison_status	shared_clade	left_support	right_support	left_support_fraction	right_support_fraction	support_fraction_delta	support_disagreement	support_conflict_classification	support_conflict_strength	left_length	right_length	length_delta	length_ratio	branch_score_status	branch_score_difference	branch_score_squared_difference
bat_chile_rv108	right_only	false						false							shared	0.010005607900000005	0.0001001121894485425
bat_chile_rv108|bat_chile_rv50	left_only	false	1.0		1.0			false	high_support_conflict	strong					shared	0.05130832680000001	0.0026325443990155993
bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021	left_only	false	0.968		0.968			false	high_support_conflict	strong							
bat_chile_rv108|bat_chile_rv50|dog_pakistan_pdb011	left_only	false	1.0		1.0			false	high_support_conflict	strong					shared	0.014125068799999994	0.00019951756860473328
bat_chile_rv108|bat_chile_rv50|dog_pakistan_pdb011|raccoon_dog_poland_2021	left_only	false	0.997		0.997			false	high_support_conflict	strong					shared	0.003582479100000001	1.2834156501936816e-05
bat_chile_rv50	right_only	false						false							shared	0.0005682629999999994	3.2292283716899933e-07
cattle_russia_4092_13_2025	right_only	false						false							shared	-3.691840000000007e-05	1.3629682585600051e-09
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	shared	true	0.999	100.0	0.999	1.0	0.0010000000000000009	false			0.015726579	0.0170069874	0.0012804083999999986	1.0814168421498407	shared	0.0012804083999999986	1.6394456707905566e-06
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	right_only	false		100.0		1.0		false	high_support_conflict	strong							
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	right_only	false		100.0		1.0		false	high_support_conflict	strong							
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	right_only	false		99.0		0.99		false	high_support_conflict	strong							
cattle_russia_4092_15_2025	right_only	false						false							shared	9.95e-07	9.90025e-13
dog_pakistan_pdb011	right_only	false						false							shared	0.0244397477	0.0005973012676396553
raccoon_dog_poland_2021	right_only	false						false							shared	0.0008617134999999963	7.425501560822436e-07
raccoon_dog_russia_4092_26_2025	right_only	false						false							shared	-4.292529999999975e-05	1.8425813800899784e-09
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	right_only	false		92.0		0.92		false	high_support_conflict	strong					shared	-0.0007852584000000006	6.166307547705609e-07
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	shared	true	0.87	84.0	0.87	0.84	0.030000000000000027	false			0.002664646	0.0024457758	-0.00021887019999999998	0.9178614345019939	shared	-0.00021887019999999998	4.790416444803999e-08
red_fox_russia_4092_18_2025	right_only	false						false							shared	9.648790000000088e-05	9.309914846410169e-09
red_fox_russia_4092_20_2025	right_only	false						false							shared	2.93091000000004e-05	8.590233428100234e-10
