rank	model	log_likelihood	parameter_count	aic	aicc	bic	best_aic	best_aicc	best_bic	selected_model
1	F81+F+G4	-4098.397634	5	nan	nan	nan	false	false	false	false
2	F81+F+I	-4096.888942	5	nan	nan	nan	false	false	false	false
3	F81+F+I+G4	-4097.643936	6	nan	nan	nan	false	false	false	false
4	F81+F+R2	-4097.0983	6	nan	nan	nan	false	false	false	false
5	GTR+F	-3881.817037	9	nan	nan	nan	false	false	false	false
6	GTR+F+G4	-3786.623463	10	nan	nan	nan	false	false	false	false
7	GTR+F+I	-3785.47687	10	nan	nan	nan	false	false	false	false
8	GTR+F+I+G4	-3786.328741	11	nan	nan	nan	false	false	false	false
9	GTR+F+I+R2	-3784.035993	12	nan	nan	nan	false	false	false	false
10	GTR+F+I+R3	-3784.103297	14	nan	nan	nan	false	false	false	false
11	GTR+F+R2	-3784.123178	11	nan	nan	nan	false	false	false	false
12	GTR+F+R3	-3784.142774	13	nan	nan	nan	false	false	false	false
13	HKY+F+G4	-3793.848328	6	nan	nan	nan	false	false	false	false
14	HKY+F+I	-3794.269621	6	nan	nan	nan	false	false	false	false
15	HKY+F+I+G4	-3793.642858	7	nan	nan	nan	false	false	false	false
16	HKY+F+R2	-3791.254965	7	nan	nan	nan	false	false	false	false
17	JC+G4	-4224.649297	2	nan	nan	nan	false	false	false	false
18	JC+I	-4222.523706	2	nan	nan	nan	false	false	false	false
19	JC+I+G4	-4223.441823	3	nan	nan	nan	false	false	false	false
20	JC+R2	-4223.119242	3	nan	nan	nan	false	false	false	false
21	K2P+G4	-3973.493046	3	nan	nan	nan	false	false	false	false
22	K2P+I	-3975.170157	3	nan	nan	nan	false	false	false	false
23	K2P+I+G4	-3973.61296	4	nan	nan	nan	false	false	false	false
24	K2P+R2	-3973.434177	4	nan	nan	nan	false	false	false	false
25	K3P+G4	-3962.723146	4	nan	nan	nan	false	false	false	false
26	K3P+I	-3964.2956	4	nan	nan	nan	false	false	false	false
27	K3P+I+G4	-3962.735993	5	nan	nan	nan	false	false	false	false
28	K3P+R2	-3962.648373	5	nan	nan	nan	false	false	false	false
29	K3Pu+F+G4	-3790.152787	7	nan	nan	nan	false	false	false	false
30	K3Pu+F+I	-3791.585726	7	nan	nan	nan	false	false	false	false
31	K3Pu+F+I+G4	-3790.135682	8	nan	nan	nan	false	false	false	false
32	K3Pu+F+R2	-3788.197457	8	nan	nan	nan	false	false	false	false
33	SYM+G4	-3924.765408	7	nan	nan	nan	false	false	false	false
34	SYM+I	-3925.752746	7	nan	nan	nan	false	false	false	false
35	SYM+I+G4	-3924.546838	8	nan	nan	nan	false	false	false	false
36	SYM+R2	-3924.634986	8	nan	nan	nan	false	false	false	false
37	TIM+F+G4	-3787.105515	8	nan	nan	nan	false	false	false	false
38	TIM+F+I	-3786.995085	8	nan	nan	nan	false	false	false	false
39	TIM+F+I+G4	-3786.804612	9	nan	nan	nan	false	false	false	false
40	TIM+F+R2	-3784.616399	9	nan	nan	nan	false	false	false	false
41	TIM2+F+G4	-3790.268837	8	nan	nan	nan	false	false	false	true
42	TIM2+F+I	-3788.843411	8	nan	nan	nan	false	false	false	false
43	TIM2+F+I+G4	-3789.981427	9	nan	nan	nan	false	false	false	false
