clade_id	node_label	trait_kind	taxon_count	taxa	coverage_fraction	mean	median	minimum	maximum	range_width	mean_delta_from_global	dominant_state	dominant_state_count	dominant_state_fraction	dominant_state_enrichment	distinct_state_count	state_counts	distribution_shift	exceptionality_score	exceptional	rank
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata|Salicornia_europaea|Suaeda_maritima		categorical	7	Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata,Salicornia_europaea,Suaeda_maritima	0.166666666666667							therophyte	7	1	0.642857142857143	1	therophyte=7	0.642857142857143	0.262445329583912	false	1
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata|Honckenya_peploides|Sagina_maritima|Salicornia_europaea|Suaeda_maritima		categorical	9	Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata,Honckenya_peploides,Sagina_maritima,Salicornia_europaea,Suaeda_maritima	0.214285714285714							therophyte	8	0.888888888888889	0.531746031746032	2	therophyte=8;geophyte=1	0.531746031746032	0.246150582082385	false	2
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata|Honckenya_peploides|Limonium_vulgare|Polygonum_oxyspermum|Sagina_maritima|Salicornia_europaea|Suaeda_maritima		categorical	11	Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata,Honckenya_peploides,Limonium_vulgare,Polygonum_oxyspermum,Sagina_maritima,Salicornia_europaea,Suaeda_maritima	0.261904761904762							therophyte	9	0.818181818181818	0.461038961038961	3	therophyte=9;geophyte=1;hemicryptophyte=1	0.461038961038961	0.235944210493898	false	3
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata		categorical	5	Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata	0.119047619047619							therophyte	5	1	0.642857142857143	1	therophyte=5	0.642857142857143	0.221806786931471	false	4
Artemisia_maritima|Artemisia_rupestris		categorical	2	Artemisia_maritima,Artemisia_rupestris	0.0476190476190476							chamaephyte	2	1	0.952380952380952	1	chamaephyte=2	0.952380952380952	0.207826562129517	false	5
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis		categorical	4	Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis	0.0952380952380952							therophyte	4	1	0.642857142857143	1	therophyte=4	0.642857142857143	0.198390021379832	false	6
Alopecurus_bulbosus|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		categorical	4	Alopecurus_bulbosus,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	0.0952380952380952							hemicryptophyte	4	1	0.595238095238095	1	hemicryptophyte=4	0.595238095238095	0.183694464240586	false	7
Juncus_gerardii|Juncus_maritimus		categorical	2	Juncus_gerardii,Juncus_maritimus	0.0476190476190476							geophyte	2	1	0.833333333333333	1	geophyte=2	0.833333333333333	0.181848241863327	false	8
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_littoralis		categorical	3	Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_littoralis	0.0714285714285714							therophyte	3	1	0.642857142857143	1	therophyte=3	0.642857142857143	0.171810798372273	false	9
Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Calystegia_soldanella|Centaurium_littorale|Glaux_maritima|Halimione_pedunculata|Honckenya_peploides|Limonium_vulgare|Plantago_coronopus|Plantago_maritima|Polygonum_oxyspermum|Sagina_maritima|Salicornia_europaea|Suaeda_maritima|Tripleurospermum_maritimum		categorical	20	Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Calystegia_soldanella,Centaurium_littorale,Glaux_maritima,Halimione_pedunculata,Honckenya_peploides,Limonium_vulgare,Plantago_coronopus,Plantago_maritima,Polygonum_oxyspermum,Sagina_maritima,Salicornia_europaea,Suaeda_maritima,Tripleurospermum_maritimum	0.476190476190476							therophyte	11	0.55	0.192857142857143	4	therophyte=11;hemicryptophyte=5;chamaephyte=2;geophyte=2	0.245238095238095	0.16923036336253	false	10
