node	node_name	descendant_taxa	estimate	standard_error	lower_95_interval	upper_95_interval	uncertainty_width	confidence	interpretation	unstable
Alopecurus_bulbosus|Ammophila_arenaria|Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Blysmus_rufus|Cakile_maritima|Calystegia_soldanella|Carex_extensa|Carex_punctata|Centaurium_littorale|Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis|Crambe_maritima|Glaucium_flavum|Glaux_maritima|Halimione_pedunculata|Honckenya_peploides|Hordeum_marinum|Juncus_gerardii|Juncus_maritimus|Leymus_arenarius|Limonium_vulgare|Parapholis_strigosa|Plantago_coronopus|Plantago_maritima|Polygonum_oxyspermum|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima|Ranunculus_baudotii|Sagina_maritima|Salicornia_europaea|Suaeda_maritima|Triglochin_maritimum|Tripleurospermum_maritimum|Zannichellia_palustris		Alopecurus_bulbosus,Ammophila_arenaria,Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Blysmus_rufus,Cakile_maritima,Calystegia_soldanella,Carex_extensa,Carex_punctata,Centaurium_littorale,Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis,Crambe_maritima,Glaucium_flavum,Glaux_maritima,Halimione_pedunculata,Honckenya_peploides,Hordeum_marinum,Juncus_gerardii,Juncus_maritimus,Leymus_arenarius,Limonium_vulgare,Parapholis_strigosa,Plantago_coronopus,Plantago_maritima,Polygonum_oxyspermum,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima,Ranunculus_baudotii,Sagina_maritima,Salicornia_europaea,Suaeda_maritima,Triglochin_maritimum,Tripleurospermum_maritimum,Zannichellia_palustris	4.70944155381797	9.72124124184652	-14.3438411652266	23.7627242728626	38.1065654380892	0.474971542600038	unstable node estimate	true
Alopecurus_bulbosus|Ammophila_arenaria|Blysmus_rufus|Carex_extensa|Carex_punctata|Hordeum_marinum|Juncus_gerardii|Juncus_maritimus|Leymus_arenarius|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima|Triglochin_maritimum|Zannichellia_palustris		Alopecurus_bulbosus,Ammophila_arenaria,Blysmus_rufus,Carex_extensa,Carex_punctata,Hordeum_marinum,Juncus_gerardii,Juncus_maritimus,Leymus_arenarius,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima,Triglochin_maritimum,Zannichellia_palustris	1.1973271363062	12.7008258012316	-23.6958340080249	26.0904882806373	49.7863222886622	0.314049017791923	unstable node estimate	true
Alopecurus_bulbosus|Ammophila_arenaria|Blysmus_rufus|Carex_extensa|Carex_punctata|Hordeum_marinum|Juncus_gerardii|Juncus_maritimus|Leymus_arenarius|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Ammophila_arenaria,Blysmus_rufus,Carex_extensa,Carex_punctata,Hordeum_marinum,Juncus_gerardii,Juncus_maritimus,Leymus_arenarius,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	1.35164221313106	9.84177561173052	-17.9378835297854	20.6411679560475	38.5790514858329	0.468461676965652	unstable node estimate	true
Alopecurus_bulbosus|Ammophila_arenaria|Hordeum_marinum|Leymus_arenarius|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Ammophila_arenaria,Hordeum_marinum,Leymus_arenarius,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	2.82891220625804	5.70443691753391	-8.3515787041891	14.0094031167052	22.3609818208943	0.691912623024328	moderate uncertainty	false
Alopecurus_bulbosus|Ammophila_arenaria|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Ammophila_arenaria,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	1.55062927959802	4.8582144905674	-7.97129615108468	11.0725547102807	19.0438508613654	0.737615722494277	moderate uncertainty	false
Alopecurus_bulbosus|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	0.512359547636947	4.71699053224845	-8.73277201098644	9.75749110626033	18.4902631172468	0.74524299921126	moderate uncertainty	false
Alopecurus_bulbosus|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	0.439354837957772	5.23995628389616	-9.83077075904304	10.7094804349586	20.5402511940016	0.716998467980137	moderate uncertainty	false
Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	0.423428571428571	3.29393381840012	-6.03256308009416	6.87942022295131	12.9119833030455	0.822099982046769	narrow uncertainty	false
Puccinellia_distans|Puccinellia_limosa		Puccinellia_distans,Puccinellia_limosa	0.216	2.48997991959775	-4.66427096463952	5.09627096463952	9.76054192927904	0.86552022693195	narrow uncertainty	false
Hordeum_marinum|Leymus_arenarius		Hordeum_marinum,Leymus_arenarius	4.88749979631981	4.43846831688591	-3.81173825129868	13.5867378439383	17.398476095237	0.760285531892574	narrow uncertainty	false
Blysmus_rufus|Carex_extensa|Carex_punctata|Juncus_gerardii|Juncus_maritimus		Blysmus_rufus,Carex_extensa,Carex_punctata,Juncus_gerardii,Juncus_maritimus	0.582272047963346	10.1381295872504	-19.2880968136473	20.452640909574	39.7407377232212	0.45245607986744	unstable node estimate	true
Blysmus_rufus|Carex_extensa|Carex_punctata		Blysmus_rufus,Carex_extensa,Carex_punctata	1.13166813853096	9.21818848798396	-16.9356493006193	19.1989855776813	36.1346348783006	0.502140605148793	unstable node estimate	true
Carex_extensa|Carex_punctata		Carex_extensa,Carex_punctata	1.2	2.84604989415154	-4.37815529074105	6.77815529074105	11.1563105814821	0.846289465672608	narrow uncertainty	false
Juncus_gerardii|Juncus_maritimus		Juncus_gerardii,Juncus_maritimus	0.03	9.38083151964686	-18.356091923546	18.416091923546	36.772183847092	0.493356519053569	unstable node estimate	true
Triglochin_maritimum|Zannichellia_palustris		Triglochin_maritimum,Zannichellia_palustris	1.005	12.8840987267251	-24.2473694776396	26.2573694776396	50.5047389552792	0.304150744622772	unstable node estimate	true
Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Cakile_maritima|Calystegia_soldanella|Centaurium_littorale|Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis|Crambe_maritima|Glaucium_flavum|Glaux_maritima|Halimione_pedunculata|Honckenya_peploides|Limonium_vulgare|Plantago_coronopus|Plantago_maritima|Polygonum_oxyspermum|Ranunculus_baudotii|Sagina_maritima|Salicornia_europaea|Suaeda_maritima|Tripleurospermum_maritimum		Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Cakile_maritima,Calystegia_soldanella,Centaurium_littorale,Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis,Crambe_maritima,Glaucium_flavum,Glaux_maritima,Halimione_pedunculata,Honckenya_peploides,Limonium_vulgare,Plantago_coronopus,Plantago_maritima,Polygonum_oxyspermum,Ranunculus_baudotii,Sagina_maritima,Salicornia_europaea,Suaeda_maritima,Tripleurospermum_maritimum	7.05691801471437	10.6662008955421	-13.8484515924171	27.9622876218458	41.8107392142629	0.423935805810652	unstable node estimate	true
Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Cakile_maritima|Calystegia_soldanella|Centaurium_littorale|Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis|Crambe_maritima|Glaux_maritima|Halimione_pedunculata|Honckenya_peploides|Limonium_vulgare|Plantago_coronopus|Plantago_maritima|Polygonum_oxyspermum|Sagina_maritima|Salicornia_europaea|Suaeda_maritima|Tripleurospermum_maritimum		Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Cakile_maritima,Calystegia_soldanella,Centaurium_littorale,Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis,Crambe_maritima,Glaux_maritima,Halimione_pedunculata,Honckenya_peploides,Limonium_vulgare,Plantago_coronopus,Plantago_maritima,Polygonum_oxyspermum,Sagina_maritima,Salicornia_europaea,Suaeda_maritima,Tripleurospermum_maritimum	10.1878638935733	11.1047773211531	-11.5770997122239	31.9528274993704	43.5299272115943	0.400249005075856	unstable node estimate	true
Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Calystegia_soldanella|Centaurium_littorale|Glaux_maritima|Halimione_pedunculata|Honckenya_peploides|Limonium_vulgare|Plantago_coronopus|Plantago_maritima|Polygonum_oxyspermum|Sagina_maritima|Salicornia_europaea|Suaeda_maritima|Tripleurospermum_maritimum		Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Calystegia_soldanella,Centaurium_littorale,Glaux_maritima,Halimione_pedunculata,Honckenya_peploides,Limonium_vulgare,Plantago_coronopus,Plantago_maritima,Polygonum_oxyspermum,Sagina_maritima,Salicornia_europaea,Suaeda_maritima,Tripleurospermum_maritimum	7.24317402859285	9.1065951081621	-10.6054244051935	25.0917724623792	35.6971968675727	0.508167582425286	unstable node estimate	true
Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Calystegia_soldanella|Centaurium_littorale|Glaux_maritima|Plantago_coronopus|Plantago_maritima|Tripleurospermum_maritimum		Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Calystegia_soldanella,Centaurium_littorale,Glaux_maritima,Plantago_coronopus,Plantago_maritima,Tripleurospermum_maritimum	9.60414797456655	11.853199340566	-13.6276958345168	32.8359917836499	46.4636876181667	0.359827946842564	unstable node estimate	true
Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Calystegia_soldanella|Centaurium_littorale|Plantago_coronopus|Plantago_maritima|Tripleurospermum_maritimum		Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Calystegia_soldanella,Centaurium_littorale,Plantago_coronopus,Plantago_maritima,Tripleurospermum_maritimum	12.4900472870435	11.4013244105675	-9.85613793372624	34.8362325078132	44.6923704415395	0.384232978209707	unstable node estimate	true
Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Tripleurospermum_maritimum		Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Tripleurospermum_maritimum	0.849726606538895	5.33835105326275	-9.61324919468755	11.3127024077653	20.9259516024529	0.711684326226882	moderate uncertainty	false
Artemisia_maritima|Artemisia_rupestris|Tripleurospermum_maritimum		Artemisia_maritima,Artemisia_rupestris,Tripleurospermum_maritimum	0.428313253012048	5.57897840110535	-10.5062834836813	11.3629099897054	21.8691934733867	0.698688433819417	moderate uncertainty	false
Artemisia_maritima|Artemisia_rupestris		Artemisia_maritima,Artemisia_rupestris	0.5	6.28490254498827	-11.8181826345211	12.8181826345211	24.6363652690423	0.66056261684979	moderate uncertainty	false
Calystegia_soldanella|Centaurium_littorale|Plantago_coronopus|Plantago_maritima		Calystegia_soldanella,Centaurium_littorale,Plantago_coronopus,Plantago_maritima	18.3172433474428	11.6194438171462	-4.45644805455041	41.090934749436	45.5473828039864	0.372452703169104	unstable node estimate	true
Calystegia_soldanella|Plantago_coronopus|Plantago_maritima		Calystegia_soldanella,Plantago_coronopus,Plantago_maritima	27.7558574721182	12.7357762621679	2.79419468310892	52.7175202611275	49.9233255780186	0.312161400137523	unstable node estimate	true
Plantago_coronopus|Plantago_maritima		Plantago_coronopus,Plantago_maritima	0.43	4.47213595499958	-8.33522540576582	9.19522540576582	17.5304508115316	0.758467197416208	narrow uncertainty	false
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata|Honckenya_peploides|Limonium_vulgare|Polygonum_oxyspermum|Sagina_maritima|Salicornia_europaea|Suaeda_maritima		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata,Honckenya_peploides,Limonium_vulgare,Polygonum_oxyspermum,Sagina_maritima,Salicornia_europaea,Suaeda_maritima	3.12937897841709	10.3165944387882	-17.0907745647139	23.3495325215481	40.4403070862621	0.442817482966905	unstable node estimate	true
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata|Honckenya_peploides|Sagina_maritima|Salicornia_europaea|Suaeda_maritima		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata,Honckenya_peploides,Sagina_maritima,Salicornia_europaea,Suaeda_maritima	3.63204978032794	8.36570820588375	-12.7644370083754	20.0285365690313	32.7929735774067	0.548181681215119	unstable node estimate	true
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata|Salicornia_europaea|Suaeda_maritima		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata,Salicornia_europaea,Suaeda_maritima	3.33183537000029	8.52435501993769	-13.3755934605108	20.0392642005114	33.4148576610222	0.539613424345244	unstable node estimate	true
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata	6.44910792384369	5.91985372814386	-5.15359217706344	18.0518080247508	23.2054002018142	0.680278310804433	moderate uncertainty	false
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis	9.83463846259384	4.66261739798581	0.696076288851785	18.9732006363359	18.2771243474841	0.748179603920031	moderate uncertainty	false
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_littoralis		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_littoralis	1.80571428571429	3.48245602987317	-5.01977411058147	8.63120268201004	13.6509767925915	0.811918203463881	narrow uncertainty	false
Atriplex_calotheca|Atriplex_glabriuscula		Atriplex_calotheca,Atriplex_glabriuscula	1.975	2.63248931621764	-3.18458424947304	7.13458424947304	10.3191684989461	0.857823525779194	narrow uncertainty	false
Salicornia_europaea|Suaeda_maritima		Salicornia_europaea,Suaeda_maritima	0.605	8.44393296989027	-15.9448045088553	17.1548045088553	33.0996090177105	0.54395688870611	unstable node estimate	true
Honckenya_peploides|Sagina_maritima		Honckenya_peploides,Sagina_maritima	4.15	7.7511290790439	-11.0419338344472	19.3419338344472	30.3838676688943	0.581374102109474	moderate uncertainty	false
Limonium_vulgare|Polygonum_oxyspermum		Limonium_vulgare,Polygonum_oxyspermum	2.325	8.60232526704263	-14.5352477067025	19.1852477067025	33.7204954134049	0.535402377880891	unstable node estimate	true
Cakile_maritima|Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis|Crambe_maritima		Cakile_maritima,Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis,Crambe_maritima	21.2564596020707	6.59410507473658	8.3322511453142	34.1806680588272	25.848416913513	0.643863090196845	moderate uncertainty	false
Cakile_maritima|Crambe_maritima		Cakile_maritima,Crambe_maritima	44.654999180045	5.83894981995906	33.2108678253886	56.0991305347014	22.8882627093128	0.68464779954102	moderate uncertainty	false
Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis		Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis	0.614000006526482	6.28738820974178	-11.7090544413892	12.9370544544421	24.6461088958313	0.660428370131836	moderate uncertainty	false
Cochlearia_anglica|Cochlearia_officinalis		Cochlearia_anglica,Cochlearia_officinalis	0.915	3.24679318713096	-5.44859771202669	7.27859771202669	12.7271954240534	0.824645971010562	narrow uncertainty	false
Glaucium_flavum|Ranunculus_baudotii		Glaucium_flavum,Ranunculus_baudotii	0.630000001794872	15.2970585734644	-29.351683871595	30.6116838751847	59.9633677467797	0.173830700650597	unstable node estimate	true
