node	node_name	descendant_taxa	most_likely_state	state_set	state_probabilities	confidence	ambiguous	unstable	interpretation
Alopecurus_bulbosus|Ammophila_arenaria|Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Blysmus_rufus|Cakile_maritima|Calystegia_soldanella|Carex_extensa|Carex_punctata|Centaurium_littorale|Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis|Crambe_maritima|Glaucium_flavum|Glaux_maritima|Halimione_pedunculata|Honckenya_peploides|Hordeum_marinum|Juncus_gerardii|Juncus_maritimus|Leymus_arenarius|Limonium_vulgare|Parapholis_strigosa|Plantago_coronopus|Plantago_maritima|Polygonum_oxyspermum|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima|Ranunculus_baudotii|Sagina_maritima|Salicornia_europaea|Suaeda_maritima|Triglochin_maritimum|Tripleurospermum_maritimum|Zannichellia_palustris		Alopecurus_bulbosus,Ammophila_arenaria,Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Blysmus_rufus,Cakile_maritima,Calystegia_soldanella,Carex_extensa,Carex_punctata,Centaurium_littorale,Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis,Crambe_maritima,Glaucium_flavum,Glaux_maritima,Halimione_pedunculata,Honckenya_peploides,Hordeum_marinum,Juncus_gerardii,Juncus_maritimus,Leymus_arenarius,Limonium_vulgare,Parapholis_strigosa,Plantago_coronopus,Plantago_maritima,Polygonum_oxyspermum,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima,Ranunculus_baudotii,Sagina_maritima,Salicornia_europaea,Suaeda_maritima,Triglochin_maritimum,Tripleurospermum_maritimum,Zannichellia_palustris	hemicryptophyte	chamaephyte,geophyte,helophyte,hemicryptophyte,therophyte	"{""chamaephyte"": 0.121949922097841, ""geophyte"": 0.19317444729457, ""helophyte"": 0.125932043986645, ""hemicryptophyte"": 0.316676900111436, ""therophyte"": 0.242266686509508}"	0.316676900111436	true	true	unstable node state
Alopecurus_bulbosus|Ammophila_arenaria|Blysmus_rufus|Carex_extensa|Carex_punctata|Hordeum_marinum|Juncus_gerardii|Juncus_maritimus|Leymus_arenarius|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima|Triglochin_maritimum|Zannichellia_palustris		Alopecurus_bulbosus,Ammophila_arenaria,Blysmus_rufus,Carex_extensa,Carex_punctata,Hordeum_marinum,Juncus_gerardii,Juncus_maritimus,Leymus_arenarius,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima,Triglochin_maritimum,Zannichellia_palustris	hemicryptophyte	chamaephyte,geophyte,helophyte,hemicryptophyte,therophyte	"{""chamaephyte"": 0.121981585134436, ""geophyte"": 0.242104763185769, ""helophyte"": 0.141196474099479, ""hemicryptophyte"": 0.295401809060433, ""therophyte"": 0.199315368519883}"	0.295401809060433	true	true	unstable node state
Alopecurus_bulbosus|Ammophila_arenaria|Blysmus_rufus|Carex_extensa|Carex_punctata|Hordeum_marinum|Juncus_gerardii|Juncus_maritimus|Leymus_arenarius|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Ammophila_arenaria,Blysmus_rufus,Carex_extensa,Carex_punctata,Hordeum_marinum,Juncus_gerardii,Juncus_maritimus,Leymus_arenarius,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	geophyte	geophyte,hemicryptophyte	"{""chamaephyte"": 0.0646400014198976, ""geophyte"": 0.544595793610983, ""helophyte"": 0.0672268496126863, ""hemicryptophyte"": 0.22619094626975, ""therophyte"": 0.0973464090866829}"	0.544595793610983	true	true	unstable node state
Alopecurus_bulbosus|Ammophila_arenaria|Hordeum_marinum|Leymus_arenarius|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Ammophila_arenaria,Hordeum_marinum,Leymus_arenarius,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	geophyte	geophyte,hemicryptophyte,therophyte	"{""chamaephyte"": 0.0176604890273464, ""geophyte"": 0.451225883592688, ""helophyte"": 0.0177664717692185, ""hemicryptophyte"": 0.356019883013153, ""therophyte"": 0.157327272597594}"	0.451225883592688	true	true	unstable node state
Alopecurus_bulbosus|Ammophila_arenaria|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Ammophila_arenaria,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	hemicryptophyte	geophyte,hemicryptophyte	"{""chamaephyte"": 0.00592559547685031, ""geophyte"": 0.359101232731619, ""helophyte"": 0.00594689343718821, ""hemicryptophyte"": 0.534851885655778, ""therophyte"": 0.0941743926985647}"	0.534851885655778	true	true	unstable node state
Alopecurus_bulbosus|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	hemicryptophyte	geophyte,hemicryptophyte	"{""chamaephyte"": 0.00277923169688237, ""geophyte"": 0.110127401156315, ""helophyte"": 0.00278570523813019, ""hemicryptophyte"": 0.792484808595075, ""therophyte"": 0.0918228533135975}"	0.792484808595075	true	false	moderately supported node state
Alopecurus_bulbosus|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Alopecurus_bulbosus,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	hemicryptophyte	geophyte,hemicryptophyte	"{""chamaephyte"": 0.00277923169688237, ""geophyte"": 0.110127401156315, ""helophyte"": 0.00278570523813019, ""hemicryptophyte"": 0.792484808595075, ""therophyte"": 0.0918228533135975}"	0.792484808595075	true	false	moderately supported node state
Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	hemicryptophyte	hemicryptophyte	"{""chamaephyte"": 0.000134773449176735, ""geophyte"": 0.00112547159773829, ""helophyte"": 0.000134833192396961, ""hemicryptophyte"": 0.997648379747398, ""therophyte"": 0.000956542013290294}"	0.997648379747398	false	false	strongly supported node state
Puccinellia_distans|Puccinellia_limosa		Puccinellia_distans,Puccinellia_limosa	hemicryptophyte	hemicryptophyte	"{""chamaephyte"": 5.63583720980598e-06, ""geophyte"": 1.98165073906336e-05, ""helophyte"": 5.63669236321752e-06, ""hemicryptophyte"": 0.999951512482493, ""therophyte"": 1.73984805432843e-05}"	0.999951512482493	false	false	strongly supported node state
Hordeum_marinum|Leymus_arenarius		Hordeum_marinum,Leymus_arenarius	geophyte	geophyte,therophyte	"{""chamaephyte"": 0.0129306171918095, ""geophyte"": 0.568990584271544, ""helophyte"": 0.0129531435286872, ""hemicryptophyte"": 0.0848479648659585, ""therophyte"": 0.320277690142001}"	0.568990584271544	true	true	unstable node state
