mode	lambda_value	log_likelihood	delta_log_likelihood	within_95_confidence_interval	profile_lower_95_confidence_interval	profile_upper_95_confidence_interval	null_log_likelihood	brownian_log_likelihood
estimated	0	-170.151982605452	0.107347818787275	true	0	1	-170.151982605452	-171.733077451578
estimated	0.01	-170.12684505524	0.0822102685759489	true	0	1	-170.151982605452	-171.733077451578
estimated	0.02	-170.106438059567	0.0618032729025799	true	0	1	-170.151982605452	-171.733077451578
estimated	0.03	-170.089937814929	0.0453030282648683	true	0	1	-170.151982605452	-171.733077451578
estimated	0.04	-170.076715937971	0.032081151306727	true	0	1	-170.151982605452	-171.733077451578
estimated	0.05	-170.066283347189	0.0216485605242838	true	0	1	-170.151982605452	-171.733077451578
estimated	0.06	-170.058252483888	0.0136176972234523	true	0	1	-170.151982605452	-171.733077451578
estimated	0.07	-170.05231126879	0.00767648212567451	true	0	1	-170.151982605452	-171.733077451578
estimated	0.08	-170.048204762493	0.00356997582835561	true	0	1	-170.151982605452	-171.733077451578
estimated	0.09	-170.045721999912	0.00108721324721728	true	0	1	-170.151982605452	-171.733077451578
estimated	0.1	-170.044686371938	5.15852734679356e-05	true	0	1	-170.151982605452	-171.733077451578
estimated	0.11	-170.044948484954	0.000313698289403419	true	0	1	-170.151982605452	-171.733077451578
estimated	0.12	-170.046380781077	0.00174599441245959	true	0	1	-170.151982605452	-171.733077451578
estimated	0.13	-170.048873429372	0.00423864270734953	true	0	1	-170.151982605452	-171.733077451578
estimated	0.14	-170.052331147918	0.00769636125369288	true	0	1	-170.151982605452	-171.733077451578
estimated	0.15	-170.056670716878	0.01203593021404	true	0	1	-170.151982605452	-171.733077451578
estimated	0.16	-170.061819010996	0.017184224331686	true	0	1	-170.151982605452	-171.733077451578
estimated	0.17	-170.067711427157	0.0230766404927749	true	0	1	-170.151982605452	-171.733077451578
estimated	0.18	-170.074290615756	0.0296558290920359	true	0	1	-170.151982605452	-171.733077451578
estimated	0.19	-170.081505448119	0.0368706614547705	true	0	1	-170.151982605452	-171.733077451578
estimated	0.2	-170.089310169142	0.044675382477692	true	0	1	-170.151982605452	-171.733077451578
estimated	0.21	-170.097663696617	0.0530289099521895	true	0	1	-170.151982605452	-171.733077451578
estimated	0.22	-170.10652903774	0.0618942510756995	true	0	1	-170.151982605452	-171.733077451578
estimated	0.23	-170.115872800039	0.0712380133749662	true	0	1	-170.151982605452	-171.733077451578
estimated	0.24	-170.125664778966	0.0810299923015236	true	0	1	-170.151982605452	-171.733077451578
estimated	0.25	-170.135877608236	0.0912428215720809	true	0	1	-170.151982605452	-171.733077451578
estimated	0.26	-170.1464864619	0.101851675235793	true	0	1	-170.151982605452	-171.733077451578
estimated	0.27	-170.157468799355	0.112834012690769	true	0	1	-170.151982605452	-171.733077451578
estimated	0.28	-170.168804146274	0.124169359609169	true	0	1	-170.151982605452	-171.733077451578
estimated	0.29	-170.180473905752	0.135839119087962	true	0	1	-170.151982605452	-171.733077451578
estimated	0.3	-170.192461195077	0.147826408413152	true	0	1	-170.151982605452	-171.733077451578
estimated	0.31	-170.204750704337	0.160115917672499	true	0	1	-170.151982605452	-171.733077451578
estimated	0.32	-170.217328573793	0.172693787128992	true	0	1	-170.151982605452	-171.733077451578
estimated	0.33	-170.230182287477	0.185547500813101	true	0	1	-170.151982605452	-171.733077451578
estimated	0.34	-170.243300580895	0.198665794230635	true	0	1	-170.151982605452	-171.733077451578
estimated	0.35	-170.25667336111	0.212038574445216	true	0	1	-170.151982605452	-171.733077451578
estimated	0.36	-170.270291637751	0.225656851086455	true	0	1	-170.151982605452	-171.733077451578
estimated	0.37	-170.284147463744	0.239512677079574	true	0	1	-170.151982605452	-171.733077451578
estimated	0.38	-170.29823388476	0.253599098096032	true	0	1	-170.151982605452	-171.733077451578
estimated	0.39	-170.312544896558	0.267910109893165	true	0	1	-170.151982605452	-171.733077451578
estimated	0.4	-170.327075409519	0.282440622855148	true	0	1	-170.151982605452	-171.733077451578
estimated	0.41	-170.341821219837	0.297186433172243	true	0	1	-170.151982605452	-171.733077451578
estimated	0.42	-170.356778986862	0.312144200197196	true	0	1	-170.151982605452	-171.733077451578
estimated	0.43	-170.371946216279	0.327311429614696	true	0	1	-170.151982605452	-171.733077451578
estimated	0.44	-170.3873212488	0.342686462135561	true	0	1	-170.151982605452	-171.733077451578
estimated	0.45	-170.40290325417	0.358268467505155	true	0	1	-170.151982605452	-171.733077451578
estimated	0.46	-170.41869223034	0.374057443675952	true	0	1	-170.151982605452	-171.733077451578
estimated	0.47	-170.434689007722	0.390054221057795	true	0	1	-170.151982605452	-171.733077451578
estimated	0.48	-170.450895258478	0.406260471813368	true	0	1	-170.151982605452	-171.733077451578
estimated	0.49	-170.467313510883	0.422678724218429	true	0	1	-170.151982605452	-171.733077451578
estimated	0.5	-170.483947168823	0.439312382158818	true	0	1	-170.151982605452	-171.733077451578
estimated	0.51	-170.500800536547	0.456165749882445	true	0	1	-170.151982605452	-171.733077451578
estimated	0.52	-170.517878848838	0.473244062173421	true	0	1	-170.151982605452	-171.733077451578
estimated	0.53	-170.535188306827	0.490553520162564	true	0	1	-170.151982605452	-171.733077451578
estimated	0.54	-170.552736119699	0.508101333035029	true	0	1	-170.151982605452	-171.733077451578
estimated	0.55	-170.570530552606	0.525895765941812	true	0	1	-170.151982605452	-171.733077451578
estimated	0.56	-170.588580981133	0.543946194469015	true	0	1	-170.151982605452	-171.733077451578
estimated	0.57	-170.606897952729	0.562263166065009	true	0	1	-170.151982605452	-171.733077451578
estimated	0.58	-170.625493255532	0.580858468867973	true	0	1	-170.151982605452	-171.733077451578
estimated	0.59	-170.644379995085	0.599745208420671	true	0	1	-170.151982605452	-171.733077451578
estimated	0.6	-170.663572679461	0.618937892796538	true	0	1	-170.151982605452	-171.733077451578
estimated	0.61	-170.683087313357	0.638452526692504	true	0	1	-170.151982605452	-171.733077451578
estimated	0.62	-170.702941501731	0.65830671506626	true	0	1	-170.151982605452	-171.733077451578
estimated	0.63	-170.723154563566	0.678519776901965	true	0	1	-170.151982605452	-171.733077451578
estimated	0.64	-170.743747656338	0.699112869673371	true	0	1	-170.151982605452	-171.733077451578
estimated	0.65	-170.764743911692	0.720109125027847	true	0	1	-170.151982605452	-171.733077451578
estimated	0.66	-170.786168582784	0.741533796120052	true	0	1	-170.151982605452	-171.733077451578
estimated	0.67	-170.808049203539	0.763414416874554	true	0	1	-170.151982605452	-171.733077451578
estimated	0.68	-170.830415759873	0.785780973208546	true	0	1	-170.151982605452	-171.733077451578
estimated	0.69	-170.853300872546	0.808666085882123	true	0	1	-170.151982605452	-171.733077451578
estimated	0.7	-170.876739990767	0.832105204102504	true	0	1	-170.151982605452	-171.733077451578
estimated	0.71	-170.900771594894	0.85613680822928	true	0	1	-170.151982605452	-171.733077451578
estimated	0.72	-170.925437405478	0.880802618813846	true	0	1	-170.151982605452	-171.733077451578
estimated	0.73	-170.950782594287	0.906147807622773	true	0	1	-170.151982605452	-171.733077451578
estimated	0.74	-170.976855990726	0.932221204061818	true	0	1	-170.151982605452	-171.733077451578
estimated	0.75	-171.003710273927	0.959075487263021	true	0	1	-170.151982605452	-171.733077451578
estimated	0.76	-171.031402136317	0.986767349652183	true	0	1	-170.151982605452	-171.733077451578
estimated	0.77	-171.0599923982	1.01535761153559	true	0	1	-170.151982605452	-171.733077451578
estimated	0.78	-171.089546044018	1.04491125735382	true	0	1	-170.151982605452	-171.733077451578
estimated	0.79	-171.120132138272	1.07549735160802	true	0	1	-170.151982605452	-171.733077451578
estimated	0.8	-171.151823561063	1.10718877439848	true	0	1	-170.151982605452	-171.733077451578
estimated	0.81	-171.184696477192	1.14006169052743	true	0	1	-170.151982605452	-171.733077451578
estimated	0.82	-171.218829415126	1.17419462846175	true	0	1	-170.151982605452	-171.733077451578
estimated	0.83	-171.254301777066	1.2096669904021	true	0	1	-170.151982605452	-171.733077451578
estimated	0.84	-171.29119152009	1.24655673342528	true	0	1	-170.151982605452	-171.733077451578
estimated	0.85	-171.329571626939	1.28493684027455	true	0	1	-170.151982605452	-171.733077451578
estimated	0.86	-171.369504801378	1.32487001471372	true	0	1	-170.151982605452	-171.733077451578
estimated	0.87	-171.411035541031	1.36640075436713	true	0	1	-170.151982605452	-171.733077451578
estimated	0.88	-171.45417830034	1.40954351367526	true	0	1	-170.151982605452	-171.733077451578
estimated	0.89	-171.498899755542	1.45426496887782	true	0	1	-170.151982605452	-171.733077451578
estimated	0.9	-171.545092043643	1.50045725697819	true	0	1	-170.151982605452	-171.733077451578
estimated	0.91	-171.59253194509	1.54789715842546	true	0	1	-170.151982605452	-171.733077451578
estimated	0.92	-171.64081771005	1.59618292338575	true	0	1	-170.151982605452	-171.733077451578
estimated	0.93	-171.689269406308	1.64463461964351	true	0	1	-170.151982605452	-171.733077451578
estimated	0.94	-171.736767853657	1.69213306699311	true	0	1	-170.151982605452	-171.733077451578
estimated	0.95	-171.781486055242	1.73685126857731	true	0	1	-170.151982605452	-171.733077451578
estimated	0.96	-171.82042284976	1.77578806309566	true	0	1	-170.151982605452	-171.733077451578
estimated	0.97	-171.848547980805	1.80391319414113	true	0	1	-170.151982605452	-171.733077451578
estimated	0.98	-171.857110806822	1.81247602015804	true	0	1	-170.151982605452	-171.733077451578
estimated	0.99	-171.829887423793	1.78525263712868	true	0	1	-170.151982605452	-171.733077451578
estimated	1	-171.733077451578	1.68844266491354	true	0	1	-170.151982605452	-171.733077451578
