trait	observed_k	estimated_lambda	permutations	signal_permutation_p_value	permutation_index	permuted_k	at_or_above_observed
seed_mass	0.333206365877455	0	11	0.25	1	0.248896367351609	false
seed_mass	0.333206365877455	0	11	0.25	2	0.222010560516604	false
seed_mass	0.333206365877455	0	11	0.25	3	0.351656854569504	true
seed_mass	0.333206365877455	0	11	0.25	4	0.268220521067642	false
seed_mass	0.333206365877455	0	11	0.25	5	0.181392213902707	false
seed_mass	0.333206365877455	0	11	0.25	6	0.188072296856227	false
seed_mass	0.333206365877455	0	11	0.25	7	0.264359415561952	false
seed_mass	0.333206365877455	0	11	0.25	8	0.127461741338495	false
seed_mass	0.333206365877455	0	11	0.25	9	0.138737220657671	false
seed_mass	0.333206365877455	0	11	0.25	10	0.628628262895755	true
seed_mass	0.333206365877455	0	11	0.25	11	0.20166158459591	false
