species,seed_mass,plant_height,lifeform,longevity,light,temperature,continentality,humidity,reaction,nitrogen,salt,habitat
Triglochin_maritimum,0.98,70,hemicryptophyte,perennial,8,6,7,7,5,5,2,saltwater_and_seashore
Zannichellia_palustris,1.03,50,helophyte,perennial,6,6,5,10,8,8,2,saltwater_and_seashore
Juncus_maritimus,0.03,100,geophyte,perennial,9,7,3,7,7,6,2,saltwater_and_seashore
Juncus_gerardii,0.03,40,geophyte,perennial,8,6,5,7,7,5,2,saltwater_and_seashore
Carex_punctata,1.25,50,hemicryptophyte,perennial,9,6,1,7,7,3,1,saltwater_and_seashore
Carex_extensa,1.15,50,hemicryptophyte,perennial,9,6,3,7,5,4,2,saltwater_and_seashore
Blysmus_rufus,1.06,45,geophyte,perennial,8,6,8,7,7,4,2,saltwater_and_seashore
Hordeum_marinum,0.875,40,therophyte,annual,9,6,4,8,7,5,2,saltwater_and_seashore
Leymus_arenarius,8.9,150,geophyte,perennial,9,6,5,6,7,6,1,saltwater_and_seashore
Ammophila_arenaria,4.34,100,geophyte,perennial,9,6,3,4,7,5,1,saltwater_and_seashore
Parapholis_strigosa,0.68,35,therophyte,annual,8,6,2,7,7,4,2,saltwater_and_seashore
Alopecurus_bulbosus,0.46,50,hemicryptophyte,perennial,8,6,2,7,7,5,1,saltwater_and_seashore
Puccinellia_maritima,0.7,70,hemicryptophyte,perennial,9,6,3,8,7,5,3,saltwater_and_seashore
Puccinellia_limosa,0.132,50,hemicryptophyte,perennial,8,6,6,7,7,5,2,saltwater_and_seashore
Puccinellia_distans,0.3,50,hemicryptophyte,perennial,8,6,6,6,7,4,2,saltwater_and_seashore
Ranunculus_baudotii,0.21,80,hemicryptophyte,biennial_or_monocarpic_perennial,8,6,5,10,9,7,2,saltwater_and_seashore
Glaucium_flavum,1.05,90,hemicryptophyte,biennial_or_monocarpic_perennial,9,6,6,6,8,7,1,saltwater_and_seashore
Cochlearia_danica,0.27,20,therophyte,biennial_or_monocarpic_perennial,9,6,3,8,8,5,1,saltwater_and_seashore
Cochlearia_officinalis,0.52,40,hemicryptophyte,biennial_or_monocarpic_perennial,8,6,5,7,7,6,1,saltwater_and_seashore
Cochlearia_anglica,1.31,40,hemicryptophyte,biennial_or_monocarpic_perennial,8,5,1,7,7,7,2,saltwater_and_seashore
Cakile_maritima,16.7,50,therophyte,annual,9,6,5,6,5,8,2,saltwater_and_seashore
Crambe_maritima,72.61,80,hemicryptophyte,perennial,9,6,5,5,7,8,2,saltwater_and_seashore
Limonium_vulgare,1.35,40,hemicryptophyte,perennial,9,6,3,6,7,5,3,saltwater_and_seashore
Polygonum_oxyspermum,3.3,100,therophyte,biennial_or_monocarpic_perennial,9,6,4,7,7,8,1,saltwater_and_seashore
Honckenya_peploides,8.12,30,geophyte,perennial,9,6,5,6,7,7,2,saltwater_and_seashore
Sagina_maritima,0.18,10,therophyte,annual,8,6,5,7,8,3,2,saltwater_and_seashore
Salicornia_europaea,0.91,40,therophyte,annual,9,6,5,8,8,4,3,saltwater_and_seashore
Suaeda_maritima,0.3,50,therophyte,annual,8,6,8,8,7,7,3,saltwater_and_seashore
Atriplex_littoralis,1.58,90,therophyte,annual,9,6,8,5,5,9,2,saltwater_and_seashore
Atriplex_glabriuscula,3.05,30,therophyte,annual,9,6,4,7,7,9,1,saltwater_and_seashore
Atriplex_calotheca,0.9,100,therophyte,annual,9,6,5,6,7,8,0,saltwater_and_seashore
Atriplex_laciniata,21.44,60,therophyte,annual,9,6,5,7,7,8,1,saltwater_and_seashore
Halimione_pedunculata,1.19,90,therophyte,annual,9,6,5,8,7,8,2,saltwater_and_seashore
Glaux_maritima,0.44,10,hemicryptophyte,perennial,6,6,7,7,7,5,2,saltwater_and_seashore
Centaurium_littorale,0.03,30,therophyte,annual,9,6,5,7,8,3,1,saltwater_and_seashore
Plantago_coronopus,0.21,30,hemicryptophyte,biennial_or_monocarpic_perennial,8,7,3,7,7,4,1,saltwater_and_seashore
Plantago_maritima,0.65,60,hemicryptophyte,perennial,8,6,7,7,8,5,2,saltwater_and_seashore
Calystegia_soldanella,56.82,60,geophyte,perennial,8,6,2,4,7,5,0,saltwater_and_seashore
Aster_tripolium,2.03,100,therophyte,biennial_or_monocarpic_perennial,8,6,5,9,7,7,2,saltwater_and_seashore
Artemisia_rupestris,0.5,45,chamaephyte,perennial,9,6,8,7,8,3,1,saltwater_and_seashore
Artemisia_maritima,0.5,60,chamaephyte,perennial,9,6,8,5,5,7,1,saltwater_and_seashore
Tripleurospermum_maritimum,0.29,40,hemicryptophyte,biennial_or_monocarpic_perennial,9,6,3,6,7,8,2,saltwater_and_seashore
