case_id	generating_model	parameter	true_value	bijux_estimated_value	geiger_estimated_value	bijux_absolute_error	geiger_absolute_error	bijux_within_tolerance	geiger_within_tolerance	closer_engine	tolerance	interpretation
brownian-sigma-recovery	brownian	sigma_squared	0.64	0.641179377568478	0.641179395026228	0.00117937756847786	0.00117939502622788	true	true	bijux	0.1	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
ou-parameter-recovery	ornstein-uhlenbeck	alpha	1	1.2406258759375	1.17750759802485	0.2406258759375	0.177507598024846	true	true	geiger	0.35	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
ou-parameter-recovery	ornstein-uhlenbeck	sigma_squared	0.49	0.890370267344078	0.215919266852745	0.400370267344078	0.274080733147255	true	true	geiger	0.45	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
early-burst-rate-recovery	early-burst	rate_change	4	4.0625	4.06266956603354	0.0625	0.0626695660335388	true	true	bijux	0.25	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
early-burst-rate-recovery	early-burst	sigma_squared	0.64	0.627661512484165	0.627987742504171	0.0123384875158351	0.0120122574958295	true	true	geiger	0.05	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
lambda-transformed-branch-review	pagel-lambda	lambda	0.7	0.5528125	0.552788440929469	0.1471875	0.147211559070531	true	true	bijux	0.2	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
lambda-transformed-branch-review	pagel-lambda	sigma_squared	0.64	0.430344744246341	0.430332820545508	0.209655255753659	0.209667179454492	true	true	bijux	0.25	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
kappa-transformed-branch-review	pagel-kappa	kappa	2	2.281875	2.28660866415599	0.281875	0.28660866415599	true	true	bijux	0.35	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
delta-transformed-branch-review	pagel-delta	delta	0.6	0.585	0.584576302225703	0.015	0.0154236977742972	true	true	bijux	0.1	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
delta-transformed-branch-review	pagel-delta	sigma_squared	0.64	0.599785731958873	0.600142476921484	0.0402142680411272	0.0398575230785161	true	true	geiger	0.1	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
