case_id	generating_model	recovery_engine	fitted_model	fit_status	parameter	true_value	estimated_value	absolute_error	relative_error	tolerance	within_tolerance	interpretation
brownian-sigma-recovery	brownian	bijux	brownian	ok	sigma_squared	0.64	0.641179377568478	0.00117937756847786	0.00184277745074665	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
brownian-sigma-recovery	brownian	geiger	brownian	ok	sigma_squared	0.64	0.641179395026228	0.00117939502622788	0.00184280472848106	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	bijux	ornstein-uhlenbeck	ok	sigma_squared	0.49	0.890370267344078	0.400370267344078	0.817082178253221	0.45	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	geiger	ornstein-uhlenbeck	ok	sigma_squared	0.49	0.215919266852745	0.274080733147255	0.559348434994397	0.45	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	bijux	ornstein-uhlenbeck	ok	alpha	1	1.2406258759375	0.2406258759375	0.2406258759375	0.35	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	geiger	ornstein-uhlenbeck	ok	alpha	1	1.17750759802485	0.177507598024846	0.177507598024846	0.35	true	The fitted parameter is compared directly against the known simulation truth for this case.
early-burst-rate-recovery	early-burst	bijux	early-burst	ok	sigma_squared	0.64	0.627661512484165	0.0123384875158351	0.0192788867434923	0.05	true	The fitted parameter is compared directly against the known simulation truth for this case.
early-burst-rate-recovery	early-burst	geiger	early-burst	ok	sigma_squared	0.64	0.627987742504171	0.0120122574958295	0.0187691523372335	0.05	true	The fitted parameter is compared directly against the known simulation truth for this case.
early-burst-rate-recovery	early-burst	bijux	early-burst	ok	rate_change	4	4.0625	0.0625	0.015625	0.25	true	The fitted parameter is compared directly against the known simulation truth for this case.
early-burst-rate-recovery	early-burst	geiger	early-burst	ok	rate_change	4	4.06266956603354	0.0626695660335388	0.0156673915083847	0.25	true	The fitted parameter is compared directly against the known simulation truth for this case.
lambda-transformed-branch-review	pagel-lambda	bijux	pagel-lambda	ok	sigma_squared	0.64	0.430344744246341	0.209655255753659	0.327586337115092	0.25	true	The fitted parameter is compared directly against the known simulation truth for this case.
lambda-transformed-branch-review	pagel-lambda	geiger	pagel-lambda	ok	sigma_squared	0.64	0.430332820545508	0.209667179454492	0.327604967897643	0.25	true	The fitted parameter is compared directly against the known simulation truth for this case.
lambda-transformed-branch-review	pagel-lambda	bijux	pagel-lambda	ok	lambda	0.7	0.5528125	0.1471875	0.210267857142857	0.2	true	The fitted parameter is compared directly against the known simulation truth for this case.
lambda-transformed-branch-review	pagel-lambda	geiger	pagel-lambda	ok	lambda	0.7	0.552788440929469	0.147211559070531	0.210302227243615	0.2	true	The fitted parameter is compared directly against the known simulation truth for this case.
kappa-transformed-branch-review	pagel-kappa	bijux	pagel-kappa	ok	kappa	2	2.281875	0.281875	0.1409375	0.35	true	The fitted parameter is compared directly against the known simulation truth for this case.
kappa-transformed-branch-review	pagel-kappa	geiger	pagel-kappa	ok	kappa	2	2.28660866415599	0.28660866415599	0.143304332077995	0.35	true	The fitted parameter is compared directly against the known simulation truth for this case.
delta-transformed-branch-review	pagel-delta	bijux	pagel-delta	ok	sigma_squared	0.64	0.599785731958873	0.0402142680411272	0.0628347938142612	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
delta-transformed-branch-review	pagel-delta	geiger	pagel-delta	ok	sigma_squared	0.64	0.600142476921484	0.0398575230785161	0.0622773798101814	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
delta-transformed-branch-review	pagel-delta	bijux	pagel-delta	ok	delta	0.6	0.585	0.015	0.025	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
delta-transformed-branch-review	pagel-delta	geiger	pagel-delta	ok	delta	0.6	0.584576302225703	0.0154236977742972	0.025706162957162	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
