case_id	generating_model	transform	recovery_engine	fitted_model	fit_status	source_state	target_state	true_rate	estimated_rate	absolute_error	relative_error	tolerance	within_tolerance	interpretation
er-three-state-rate-recovery	equal-rates		bijux	equal-rates	ok	central	north	0.45	0.354725296659399	0.0952747033406011	0.211721562979113	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		bijux	equal-rates	ok	central	south	0.45	0.354725296659399	0.0952747033406011	0.211721562979113	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		bijux	equal-rates	ok	north	central	0.45	0.354725296659399	0.0952747033406011	0.211721562979113	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		bijux	equal-rates	ok	north	south	0.45	0.354725296659399	0.0952747033406011	0.211721562979113	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		bijux	equal-rates	ok	south	central	0.45	0.354725296659399	0.0952747033406011	0.211721562979113	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		bijux	equal-rates	ok	south	north	0.45	0.354725296659399	0.0952747033406011	0.211721562979113	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		geiger	equal-rates	ok	central	north	0.45	0.354725318337797	0.095274681662203	0.211721514804896	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		geiger	equal-rates	ok	central	south	0.45	0.354725318337797	0.095274681662203	0.211721514804896	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		geiger	equal-rates	ok	north	central	0.45	0.354725318337797	0.095274681662203	0.211721514804896	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		geiger	equal-rates	ok	north	south	0.45	0.354725318337797	0.095274681662203	0.211721514804896	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		geiger	equal-rates	ok	south	central	0.45	0.354725318337797	0.095274681662203	0.211721514804896	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
er-three-state-rate-recovery	equal-rates		geiger	equal-rates	ok	south	north	0.45	0.354725318337797	0.095274681662203	0.211721514804896	0.8	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		bijux	symmetric	ok	central	north	1.2	4.42268552874544	3.22268552874544	2.68557127395453	1.25	false	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		bijux	symmetric	ok	central	south	0.18	4.53999297624849e-05	0.179954600070238	0.999747778167986	1.25	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		bijux	symmetric	ok	north	central	1.2	4.42268552874544	3.22268552874544	2.68557127395453	1.25	false	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		bijux	symmetric	ok	north	south	0.75	0.221000559180674	0.528999440819326	0.705332587759102	1.25	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		bijux	symmetric	ok	south	central	0.18	4.53999297624849e-05	0.179954600070238	0.999747778167986	1.25	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		bijux	symmetric	ok	south	north	0.75	0.221000559180674	0.528999440819326	0.705332587759102	1.25	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		geiger	symmetric	ok	central	north	1.2	4.42266584404172	3.22266584404172	2.68555487003477	1.25	false	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		geiger	symmetric	ok	central	south	0.18	3.36508064394478e-13	0.179999999999663	0.99999999999813	1.25	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		geiger	symmetric	ok	north	central	1.2	4.42266584404172	3.22266584404172	2.68555487003477	1.25	false	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		geiger	symmetric	ok	north	south	0.75	0.221051890028048	0.528948109971952	0.705264146629269	1.25	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		geiger	symmetric	ok	south	central	0.18	3.36508064394478e-13	0.179999999999663	0.99999999999813	1.25	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
sym-three-state-rate-recovery	symmetric		geiger	symmetric	ok	south	north	0.75	0.221051890028048	0.528948109971952	0.705264146629269	1.25	true	The fitted transition rate is compared directly against the known simulation truth for this discrete Mk case.
ard-three-state-weak-identification-review	all-rates-different		bijux	all-rates-different	ok	central	north	2	12.5838911553609	10.5838911553609	5.29194557768045			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		bijux	all-rates-different	ok	central	south	0.02	4.53999297624849e-05	0.0199546000702375	0.997730003511876			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		bijux	all-rates-different	ok	north	central	0.02	1.44018033469096	1.42018033469096	71.0090167345481			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		bijux	all-rates-different	ok	north	south	1.4	0.589474092380828	0.810525907619171	0.578947076870837			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
ard-three-state-weak-identification-review	all-rates-different		bijux	all-rates-different	ok	south	central	2	4.53999297624849e-05	1.99995460007024	0.999977300035119			The fitted transition rate is compared directly against the known simulation truth for this discrete Mk review case without a governed pass-fail tolerance.
