parent_node	child_node	true_transition	estimated_transition	true_changed	estimated_changed	true_event_count	estimated_event_count	correct
SimTaxon1|SimTaxon2|SimTaxon3|SimTaxon4|SimTaxon5|SimTaxon6|SimTaxon7|SimTaxon8	SimTaxon1|SimTaxon2|SimTaxon3|SimTaxon4	bat->bat	bat->bat	false	false	0	0	true
SimTaxon1|SimTaxon2|SimTaxon3|SimTaxon4	SimTaxon1|SimTaxon2	bat->bat	bat->bat	false	false	0	0	true
SimTaxon1|SimTaxon2	SimTaxon1	bat->canid	bat->canid	true	true	1	1	true
SimTaxon1|SimTaxon2	SimTaxon2	bat->bat	bat->bat	false	false	0	0	true
SimTaxon1|SimTaxon2|SimTaxon3|SimTaxon4	SimTaxon3|SimTaxon4	bat->bat	bat->bat	false	false	0	0	true
SimTaxon3|SimTaxon4	SimTaxon3	bat->bat	bat->bat	false	false	0	0	true
SimTaxon3|SimTaxon4	SimTaxon4	bat->bat	bat->bat	false	false	0	0	true
SimTaxon1|SimTaxon2|SimTaxon3|SimTaxon4|SimTaxon5|SimTaxon6|SimTaxon7|SimTaxon8	SimTaxon5|SimTaxon6|SimTaxon7|SimTaxon8	bat->bat	bat->bat	false	false	0	0	true
SimTaxon5|SimTaxon6|SimTaxon7|SimTaxon8	SimTaxon5	bat->canid	bat->canid	true	true	1	1	true
SimTaxon5|SimTaxon6|SimTaxon7|SimTaxon8	SimTaxon6|SimTaxon7|SimTaxon8	bat->bat	bat->bat	false	false	0	0	true
SimTaxon6|SimTaxon7|SimTaxon8	SimTaxon6|SimTaxon7	bat->bat	bat->bat	false	false	0	0	true
SimTaxon6|SimTaxon7	SimTaxon6	bat->bat	bat->bat	false	false	0	0	true
SimTaxon6|SimTaxon7	SimTaxon7	bat->bat	bat->bat	false	false	0	0	true
SimTaxon6|SimTaxon7|SimTaxon8	SimTaxon8	bat->bat	bat->bat	false	false	0	0	true
