node	node_name	is_tip	descendant_taxa	true_value
SimTaxon1|SimTaxon2|SimTaxon3|SimTaxon4|SimTaxon5|SimTaxon6|SimTaxon7|SimTaxon8		false	SimTaxon1,SimTaxon2,SimTaxon3,SimTaxon4,SimTaxon5,SimTaxon6,SimTaxon7,SimTaxon8	1.25
SimTaxon1|SimTaxon2|SimTaxon3|SimTaxon4		false	SimTaxon1,SimTaxon2,SimTaxon3,SimTaxon4	1.2568723846259
SimTaxon1|SimTaxon2		false	SimTaxon1,SimTaxon2	1.25502149529152
SimTaxon1	SimTaxon1	true	SimTaxon1	1.25160503190247
SimTaxon2	SimTaxon2	true	SimTaxon2	1.21630594359817
SimTaxon3|SimTaxon4		false	SimTaxon3,SimTaxon4	1.27279827302605
SimTaxon3	SimTaxon3	true	SimTaxon3	1.27279827302605
SimTaxon4	SimTaxon4	true	SimTaxon4	1.27279827302605
SimTaxon5|SimTaxon6|SimTaxon7|SimTaxon8		false	SimTaxon5,SimTaxon6,SimTaxon7,SimTaxon8	1.19584483945321
SimTaxon5	SimTaxon5	true	SimTaxon5	1.41099805408809
SimTaxon6|SimTaxon7|SimTaxon8		false	SimTaxon6,SimTaxon7,SimTaxon8	1.17315140109561
SimTaxon6|SimTaxon7		false	SimTaxon6,SimTaxon7	1.17780082528835
SimTaxon6	SimTaxon6	true	SimTaxon6	1.19942805654943
SimTaxon7	SimTaxon7	true	SimTaxon7	1.17277331181274
SimTaxon8	SimTaxon8	true	SimTaxon8	1.10828244738982
