case_id	generating_model	parameter	true_value	bijux_estimated_value	geiger_estimated_value	bijux_absolute_error	geiger_absolute_error	bijux_within_tolerance	geiger_within_tolerance	closer_engine	tolerance	interpretation
brownian-sigma-recovery	brownian	sigma_squared	0.64	0.641179377568478	0.641179395026228	0.00117937756847786	0.00117939502622788	true	true	bijux	0.1	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
ou-parameter-recovery	ornstein-uhlenbeck	alpha	1	1.2395010397512	1.17750759802485	0.2395010397512	0.177507598024846	true	true	geiger	0.35	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
ou-parameter-recovery	ornstein-uhlenbeck	sigma_squared	0.49	0.888440240719156	0.215919266852745	0.398440240719156	0.274080733147255	true	true	geiger	0.45	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
ou-parameter-recovery	ornstein-uhlenbeck	theta	2.8	2.3365051714893	2.4737136238971	0.4634948285107	0.326286376102899	true	true	geiger	0.5	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
early-burst-rate-recovery	early-burst	rate_change	4	4.0624369070623	4.06266956603354	0.0624369070622999	0.0626695660335388	true	true	bijux	0.25	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
early-burst-rate-recovery	early-burst	sigma_squared	0.64	0.627594564849773	0.627987742504171	0.0124054351502271	0.0120122574958295	true	true	geiger	0.05	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
lambda-transformed-branch-review	pagel-lambda	lambda	0.7	0.552789468726218	0.552788440929469	0.147210531273782	0.147211559070531	true	true	bijux	0.2	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
lambda-transformed-branch-review	pagel-lambda	sigma_squared	0.64	0.430333237287728	0.430332820545508	0.209666762712272	0.209667179454492	true	true	bijux	0.25	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
kappa-transformed-branch-review	pagel-kappa	kappa	2	2.28161774250749	2.28660866415599	0.28161774250749	0.28660866415599	true	true	bijux	0.35	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
delta-transformed-branch-review	pagel-delta	delta	0.6	0.584579856182798	0.584576302225703	0.015420143817202	0.0154236977742972	true	true	bijux	0.1	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
delta-transformed-branch-review	pagel-delta	sigma_squared	0.64	0.600139260502699	0.600142476921484	0.0398607394973012	0.0398575230785161	true	true	geiger	0.1	Bijux and stored geiger recovery are compared directly against the same known simulation truth.
