case_id	generating_model	recovery_engine	fitted_model	fit_status	parameter	true_value	estimated_value	absolute_error	relative_error	tolerance	within_tolerance	interpretation
brownian-sigma-recovery	brownian	bijux	brownian	ok	sigma_squared	0.64	0.641179377568478	0.00117937756847786	0.00184277745074665	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
brownian-sigma-recovery	brownian	geiger	brownian	ok	sigma_squared	0.64	0.641179395026228	0.00117939502622788	0.00184280472848106	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	bijux	ornstein-uhlenbeck	ok	sigma_squared	0.49	0.888440240719156	0.398440240719156	0.813143348406441	0.45	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	geiger	ornstein-uhlenbeck	ok	sigma_squared	0.49	0.215919266852745	0.274080733147255	0.559348434994397	0.45	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	bijux	ornstein-uhlenbeck	ok	alpha	1	1.2395010397512	0.2395010397512	0.2395010397512	0.35	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	geiger	ornstein-uhlenbeck	ok	alpha	1	1.17750759802485	0.177507598024846	0.177507598024846	0.35	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	bijux	ornstein-uhlenbeck	ok	theta	2.8	2.3365051714893	0.4634948285107	0.16553386732525	0.5	true	The fitted parameter is compared directly against the known simulation truth for this case.
ou-parameter-recovery	ornstein-uhlenbeck	geiger	ornstein-uhlenbeck	ok	theta	2.8	2.4737136238971	0.326286376102899	0.116530848608178	0.5	true	The fitted parameter is compared directly against the known simulation truth for this case.
early-burst-rate-recovery	early-burst	bijux	early-burst	ok	sigma_squared	0.64	0.627594564849773	0.0124054351502271	0.0193834924222298	0.05	true	The fitted parameter is compared directly against the known simulation truth for this case.
early-burst-rate-recovery	early-burst	geiger	early-burst	ok	sigma_squared	0.64	0.627987742504171	0.0120122574958295	0.0187691523372335	0.05	true	The fitted parameter is compared directly against the known simulation truth for this case.
early-burst-rate-recovery	early-burst	bijux	early-burst	ok	rate_change	4	4.0624369070623	0.0624369070622999	0.015609226765575	0.25	true	The fitted parameter is compared directly against the known simulation truth for this case.
early-burst-rate-recovery	early-burst	geiger	early-burst	ok	rate_change	4	4.06266956603354	0.0626695660335388	0.0156673915083847	0.25	true	The fitted parameter is compared directly against the known simulation truth for this case.
lambda-transformed-branch-review	pagel-lambda	bijux	pagel-lambda	ok	sigma_squared	0.64	0.430333237287728	0.209666762712272	0.327604316737925	0.25	true	The fitted parameter is compared directly against the known simulation truth for this case.
lambda-transformed-branch-review	pagel-lambda	geiger	pagel-lambda	ok	sigma_squared	0.64	0.430332820545508	0.209667179454492	0.327604967897643	0.25	true	The fitted parameter is compared directly against the known simulation truth for this case.
lambda-transformed-branch-review	pagel-lambda	bijux	pagel-lambda	ok	lambda	0.7	0.552789468726218	0.147210531273782	0.210300758962546	0.2	true	The fitted parameter is compared directly against the known simulation truth for this case.
lambda-transformed-branch-review	pagel-lambda	geiger	pagel-lambda	ok	lambda	0.7	0.552788440929469	0.147211559070531	0.210302227243615	0.2	true	The fitted parameter is compared directly against the known simulation truth for this case.
kappa-transformed-branch-review	pagel-kappa	bijux	pagel-kappa	ok	kappa	2	2.28161774250749	0.28161774250749	0.140808871253745	0.35	true	The fitted parameter is compared directly against the known simulation truth for this case.
kappa-transformed-branch-review	pagel-kappa	geiger	pagel-kappa	ok	kappa	2	2.28660866415599	0.28660866415599	0.143304332077995	0.35	true	The fitted parameter is compared directly against the known simulation truth for this case.
delta-transformed-branch-review	pagel-delta	bijux	pagel-delta	ok	sigma_squared	0.64	0.600139260502699	0.0398607394973012	0.0622824054645331	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
delta-transformed-branch-review	pagel-delta	geiger	pagel-delta	ok	sigma_squared	0.64	0.600142476921484	0.0398575230785161	0.0622773798101814	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
delta-transformed-branch-review	pagel-delta	bijux	pagel-delta	ok	delta	0.6	0.584579856182798	0.015420143817202	0.0257002396953367	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
delta-transformed-branch-review	pagel-delta	geiger	pagel-delta	ok	delta	0.6	0.584576302225703	0.0154236977742972	0.025706162957162	0.1	true	The fitted parameter is compared directly against the known simulation truth for this case.
