locus_name	covered_taxon_count	total_taxa	taxon_coverage_fraction	observed_site_count	total_site_count	site_coverage_fraction	low_coverage
mt-cox1	6	6	1.0	9414	9414	1.0	false
mt-cox2	6	6	1.0	4104	4104	1.0	false
mt-cox3	6	6	1.0	4704	4704	1.0	false
mt-cytb	6	6	1.0	6846	6846	1.0	false
mt-nd2	6	6	1.0	6264	6264	1.0	false
